1932 03 26 0952 128.332 -4.325 35.0 6.55 MW 
1926 03 19 1903 128.690 -4.178 35.0 5.73 MW 
1932 09 09 1339 128.114 -3.473 25.0 6.31 MW 
1926 07 10 0117 128.950 -3.658 35.0 5.85 MW 
1935 12 29 2337 128.254 -3.739 25.0 6.43 MW 
1929 05 26 0842 128.673 -3.435 15.0 6.00 MW 
1950 10 08 0323 128.233 -4.199 20.0 7.30 MW 
1952 07 13 1734 127.181 -3.239 25.0 6.49 MW 
1960 02 09 2355 127.731 -3.995 35.0 6.52 MW 
1938 08 30 1708 128.327 -3.869 15.0 5.67 MW 
1941 09 14 1333 126.124 -7.150 25.0 5.94 MW 
1950 08 30 0651 129.121 -3.954 20.0 6.13 MW 
1953 06 10 1823 128.486 -4.076 50.0 6.04 MW 
1956 05 26 0830 126.112 -4.096 15.0 5.88 MW 
1974 07 26 1301 128.873 -3.564 30.0 5.70 MW bibliog
1971 10 16 2154 127.154 -3.467 60.0 5.62 MW 
1977 01 22 0418 127.124 -3.495 60.0 5.53 MW 
1977 06 18 2004 127.797 -4.047 10.0 5.54 MW 
1989 07 07 1941 128.966 -4.736 41.3 5.68 MW gcmt
2005 08 02 0839 128.848 -4.020 25.0 5.63 MW gcmt
