>  -Wthick,chartreuse1  
#  SWA  6  2101  21  0
119  -29  
119  -35.5  
116  -35.5  
115  -31.5  
115  -29  
119  -29  
>  -Wthick,chartreuse1  
#  SA  10  2261  226  0
134.5  -27.5  
135  -26.5  
137.5  -27.5  
140  -29  
140  -32  
140  -35.5  
136.5  -37  
134  -33.5  
135  -31  
134.5  -27.5  
>  -Wthick,chartreuse1  
#  SEA  12  2101  21  0
153.5  -32  
151  -38  
148.5  -40  
148.5  -44.5  
145.5  -44.5  
142  -40  
143.5  -37  
147  -34  
149  -32  
150  -31.5  
153  -31.5  
153.5  -32  
>  -Wthick,chartreuse1  
#  WA  24  2251  225  0
111  -18  
120  -13  
128  -10  
145  -10  
146  -11  
140  -29  
137.5  -27.5  
135  -26.5  
134.5  -27.5  
135  -31  
134  -33.5  
136.5  -37  
136  -38  
127  -36  
119  -36.5  
119  -35.5  
119  -29  
115  -29  
112  -29  
111  -27  
111  -25  
112  -20  
112  -20  
111  -18  
>  -Wthick,chartreuse1  
#  ENA  16  2271  227  0
136  -38  
136.5  -37  
140  -35.5  
140  -32  
140  -29  
146  -11  
153  -19  
155  -24  
153.5  -32  
153  -31.5  
150  -31.5  
149  -32  
147  -34  
143.5  -37  
142  -40  
136  -38  
