SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Albany-Fraser,ALF,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,122.8161,122.0789,117.0548,0.7718,0.8069,0.7367,0.7718,0.0351,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,88.605,15.0,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Amadeus Basin,AMD,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,112.6059,110.0242,108.4688,0.7718,0.8069,0.7367,0.7718,0.0351,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,44.4,15.0,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Arunta Block,ATB,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,336.2517,372.3999,297.5401,0.7718,0.8069,0.7367,0.7718,0.0351,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,34.08,20.820,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Ballan,BAL,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,11.64836,6.583764,18.57186,0.9483,0.9861,0.9105,0.9483,0.0378,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Ballarat,BRT,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,35.29680,26.82024,44.74862,0.9483,0.9861,0.9105,0.9483,0.0378,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bass Strait,BAS,area,5.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,173.4633,203.2956,142.7227,0.863,0.9172,0.8088,0.863,0.0542,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,134.99,15.0,Extended,Non_cratonic,5.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bathurst,BAT,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,324.3191,340.0266,298.2894,0.9483,0.9861,0.9105,0.9483,0.0378,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,74.72,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bendigo,BEN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,19.57416,13.76073,26.50619,0.9483,0.9861,0.9105,0.9483,0.0378,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bowen,BOW,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,56.78584,26.67431,99.28372,0.9483,0.9861,0.9105,0.9483,0.0378,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,45.77,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bunnaloo,BUN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,221.2133,212.1332,215.3032,0.9483,0.9861,0.9105,0.9483,0.0378,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
