# mean, investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
112.18274,-10.17986,0.000000E+00,0.000000E+00
112.18285,-10.35973,0.000000E+00,0.000000E+00
112.18295,-10.53959,0.000000E+00,0.000000E+00
112.18306,-10.71946,0.000000E+00,0.000000E+00
112.18317,-10.89932,0.000000E+00,0.000000E+00
112.18328,-11.07919,0.000000E+00,0.000000E+00
112.18339,-11.25905,0.000000E+00,0.000000E+00
112.18351,-11.43891,0.000000E+00,0.000000E+00
112.18363,-11.61878,0.000000E+00,0.000000E+00
112.18375,-11.79864,0.000000E+00,0.000000E+00
112.18387,-11.97851,0.000000E+00,0.000000E+00
112.18399,-12.15837,0.000000E+00,0.000000E+00
112.18412,-12.33824,0.000000E+00,0.000000E+00
112.18424,-12.51810,0.000000E+00,0.000000E+00
112.18437,-12.69796,0.000000E+00,0.000000E+00
112.18451,-12.87783,0.000000E+00,0.000000E+00
112.18464,-13.05769,0.000000E+00,0.000000E+00
112.18477,-13.23756,0.000000E+00,0.000000E+00
112.18491,-13.41742,0.000000E+00,0.000000E+00
112.18505,-13.59729,0.000000E+00,0.000000E+00
112.18519,-13.77715,0.000000E+00,0.000000E+00
112.18534,-13.95702,0.000000E+00,0.000000E+00
112.18548,-14.13688,0.000000E+00,0.000000E+00
112.18563,-14.31674,0.000000E+00,0.000000E+00
112.18578,-14.49661,0.000000E+00,5.144434E-03
112.18593,-14.67647,0.000000E+00,6.016760E-03
112.18608,-14.85634,0.000000E+00,7.022705E-03
112.18624,-15.03620,0.000000E+00,8.099395E-03
112.18640,-15.21607,0.000000E+00,9.377288E-03
112.18656,-15.39593,0.000000E+00,1.091671E-02
112.18672,-15.57579,0.000000E+00,1.289580E-02
112.18689,-15.75566,0.000000E+00,1.519390E-02
112.18705,-15.93552,0.000000E+00,1.729660E-02
112.18722,-16.11539,0.000000E+00,1.831806E-02
112.18739,-16.29525,0.000000E+00,1.818566E-02
112.18757,-16.47512,5.178761E-03,1.765029E-02
112.18774,-16.65498,5.315548E-03,1.721663E-02
112.18792,-16.83484,5.447344E-03,1.707627E-02
112.18810,-17.01471,5.600792E-03,1.721415E-02
112.18828,-17.19457,5.785976E-03,1.756431E-02
112.18846,-17.37444,6.013687E-03,1.809407E-02
112.18865,-17.55430,6.296692E-03,1.880703E-02
112.18884,-17.73417,6.657358E-03,1.972311E-02
112.18903,-17.91403,7.115384E-03,2.095045E-02
112.18922,-18.09389,7.676131E-03,2.273874E-02
112.18942,-18.27376,8.435326E-03,2.555686E-02
112.18961,-18.45362,9.455993E-03,3.021169E-02
112.18981,-18.63349,1.065552E-02,3.837336E-02
112.19002,-18.81335,1.197012E-02,4.686288E-02
112.19022,-18.99322,1.315030E-02,5.106001E-02
112.19043,-19.17308,1.397964E-02,5.309404E-02
112.19064,-19.35294,1.449726E-02,5.417619E-02
112.19085,-19.53281,1.483193E-02,5.480708E-02
112.19106,-19.71267,1.504483E-02,5.517447E-02
112.19128,-19.89254,1.516019E-02,5.535345E-02
112.19150,-20.07240,1.519106E-02,5.537802E-02
112.19172,-20.25227,1.514188E-02,5.525382E-02
112.19194,-20.43213,1.500945E-02,5.497189E-02
112.19217,-20.61199,1.478778E-02,5.450487E-02
112.19239,-20.79186,1.443967E-02,5.372491E-02
112.19262,-20.97172,1.388046E-02,5.227096E-02
112.19286,-21.15159,1.298170E-02,4.905434E-02
112.19309,-21.33145,1.188460E-02,4.186863E-02
112.19333,-21.51132,1.093276E-02,3.374327E-02
112.19357,-21.69118,1.030491E-02,2.968012E-02
112.19381,-21.87105,1.005089E-02,2.848111E-02
112.19406,-22.05091,1.013629E-02,2.913701E-02
112.19431,-22.23077,1.051122E-02,3.173283E-02
112.19456,-22.41064,1.112168E-02,3.642920E-02
112.19481,-22.59050,1.189932E-02,4.252921E-02
112.19507,-22.77037,1.277049E-02,4.777009E-02
112.19533,-22.95023,1.360559E-02,5.102363E-02
112.19559,-23.13010,1.425410E-02,5.289887E-02
112.19585,-23.30996,1.473537E-02,5.399801E-02
112.19612,-23.48982,1.509961E-02,5.474268E-02
112.19639,-23.66969,1.539211E-02,5.530388E-02
112.19666,-23.84955,1.563920E-02,5.576497E-02
112.19693,-24.02942,1.585132E-02,5.615510E-02
112.19721,-24.20928,1.603359E-02,5.648726E-02
112.19749,-24.38915,1.618675E-02,5.676602E-02
112.19777,-24.56901,1.631076E-02,5.699169E-02
112.19806,-24.74887,1.640450E-02,5.716335E-02
112.19834,-24.92874,1.646992E-02,5.728256E-02
112.19863,-25.10860,1.651089E-02,5.735668E-02
112.19893,-25.28847,1.652997E-02,5.739227E-02
112.19922,-25.46833,1.652821E-02,5.739278E-02
112.19952,-25.64820,1.650559E-02,5.735858E-02
112.19983,-25.82806,1.646097E-02,5.728707E-02
112.20013,-26.00792,1.639164E-02,5.717197E-02
112.20044,-26.18779,1.629313E-02,5.700338E-02
112.20075,-26.36765,1.615985E-02,5.677218E-02
112.20106,-26.54752,1.599103E-02,5.648165E-02
112.20138,-26.72738,1.578906E-02,5.613447E-02
112.20170,-26.90725,1.555094E-02,5.572357E-02
112.20202,-27.08711,1.526799E-02,5.523076E-02
112.20235,-27.26697,1.492149E-02,5.460667E-02
112.20268,-27.44684,1.446913E-02,5.372581E-02
112.20301,-27.62670,1.385078E-02,5.233901E-02
112.20334,-27.80657,1.297538E-02,4.983627E-02
112.20368,-27.98643,1.193767E-02,4.509083E-02
112.20402,-28.16630,1.092242E-02,3.866672E-02
112.20437,-28.34616,1.003880E-02,3.312728E-02
112.20472,-28.52603,9.249054E-03,2.926502E-02
112.20507,-28.70589,8.550993E-03,2.663593E-02
112.20542,-28.88575,7.934502E-03,2.427854E-02
112.20578,-29.06562,7.374892E-03,2.222355E-02
112.20614,-29.24548,6.851359E-03,2.043667E-02
112.20650,-29.42535,6.347262E-03,1.887815E-02
112.20687,-29.60521,5.908099E-03,1.747399E-02
112.20724,-29.78508,5.530561E-03,1.629019E-02
112.20762,-29.96494,5.209100E-03,1.529234E-02
112.20799,-30.14480,0.000000E+00,1.444946E-02
112.20837,-30.32467,0.000000E+00,1.374676E-02
112.20876,-30.50453,0.000000E+00,1.313555E-02
112.20915,-30.68440,0.000000E+00,1.267433E-02
112.20954,-30.86426,0.000000E+00,1.237971E-02
112.20993,-31.04413,0.000000E+00,1.228248E-02
112.21033,-31.22399,0.000000E+00,1.239904E-02
112.21073,-31.40385,0.000000E+00,1.273978E-02
112.21114,-31.58372,0.000000E+00,1.333415E-02
112.21155,-31.76358,0.000000E+00,1.418715E-02
112.21196,-31.94345,5.323240E-03,1.530313E-02
112.21238,-32.12331,5.783814E-03,1.664863E-02
112.21280,-32.30318,6.333109E-03,1.820934E-02
112.21322,-32.48304,6.990506E-03,1.997078E-02
112.21365,-32.66290,7.713382E-03,2.206191E-02
112.21408,-32.84277,8.643573E-03,2.500155E-02
112.21452,-33.02263,9.889429E-03,2.957989E-02
112.21496,-33.20250,1.135237E-02,3.778081E-02
