#File_name	N0	b_value	Area
D_110.50_-24.00_0.50 168.39 1.00 11230
D_110.50_-26.50_0.50 483.59 1.00 11014
D_110.50_-27.00_0.50 383.60 1.00 10968
D_111.00_-22.00_0.50 119.21 1.00 11389
D_111.00_-24.00_0.50 133.76 1.00 11230
D_111.00_-24.50_0.50 267.10 1.00 11189
D_111.00_-25.00_0.50 237.86 1.00 11146
D_111.00_-26.50_0.50 288.27 1.00 11014
D_111.00_-27.00_0.50 254.00 1.00 10968
D_111.50_-20.00_0.50 800.69 1.00 11533
D_111.50_-20.50_0.50 3297.71 1.00 11498
D_111.50_-21.50_0.50 94.70 1.00 11426
D_111.50_-22.00_0.50 94.70 1.00 11389
D_111.50_-24.50_0.50 169.06 0.99 11189
D_111.50_-25.00_0.50 545.98 0.99 11146
D_111.50_-25.50_0.50 434.86 0.99 11103
D_111.50_-26.00_0.50 151.26 0.99 11059
D_111.50_-26.50_0.50 159.25 0.99 11014
D_111.50_-27.00_0.50 142.82 0.99 10968
D_112.00_-19.00_0.50 332.02 0.99 11600
D_112.00_-19.50_0.50 295.53 0.99 11567
D_112.00_-20.00_0.50 3282.56 0.99 11533
D_112.00_-20.50_0.50 2613.44 0.99 11498
D_112.00_-22.50_0.50 73.23 0.99 11350
D_112.00_-23.00_0.50 118.96 0.99 11311
D_112.00_-23.50_0.50 162.61 0.99 11271
D_112.00_-24.00_0.50 206.05 0.99 11230
D_112.00_-24.50_0.50 98.64 0.99 11189
D_112.00_-25.00_0.50 518.57 0.99 11146
D_112.00_-25.50_0.50 433.13 0.99 11103
D_112.00_-26.00_0.50 95.88 0.99 11059
D_112.00_-26.50_0.50 72.34 0.99 11014
D_112.00_-27.00_0.50 54.08 0.99 10968
D_112.00_-27.50_0.50 83.28 0.99 10922
D_112.00_-28.00_0.50 69.92 0.99 10874
D_112.50_-19.50_0.50 174.51 0.99 11567
D_112.50_-20.00_0.50 412.82 0.99 11533
D_112.50_-20.50_0.50 327.35 0.99 11498
D_112.50_-21.50_0.50 89.62 0.99 11426
D_112.50_-22.00_0.50 90.03 0.99 11389
D_112.50_-22.50_0.50 103.67 0.99 11350
D_112.50_-23.00_0.50 241.00 0.99 11311
D_112.50_-23.50_0.50 224.16 0.99 11271
D_112.50_-24.00_0.50 220.57 0.99 11230
D_112.50_-24.50_0.50 244.53 0.99 11189
D_112.50_-25.00_0.50 177.54 0.99 11146
D_112.50_-25.50_0.50 188.14 0.99 11103
D_112.50_-26.00_0.50 97.67 0.99 11059
D_112.50_-26.50_0.50 100.86 0.99 11014
D_112.50_-27.00_0.50 90.47 0.99 10968
D_112.50_-27.50_0.50 90.52 0.99 10922
D_112.50_-28.00_0.50 63.66 0.99 10874
D_112.50_-28.50_0.50 39.23 0.99 10826
D_112.50_-29.00_0.50 59.37 1.00 10777
D_112.50_-29.50_0.50 29.33 1.00 10727
D_112.50_-30.00_0.50 50.11 1.00 10676
D_112.50_-30.50_0.50 48.11 1.00 10625
D_112.50_-31.50_0.50 14.92 1.00 10519
D_112.50_-32.00_0.50 14.92 1.00 10465
D_113.00_-19.00_0.50 195.58 0.99 11600
D_113.00_-19.50_0.50 233.91 0.99 11567
D_113.00_-20.00_0.50 468.41 0.99 11533
D_113.00_-20.50_0.50 392.67 0.99 11498
D_113.00_-21.50_0.50 170.76 0.99 11426
D_113.00_-22.00_0.50 251.28 0.99 11389
D_113.00_-22.50_0.50 299.38 0.99 11350
D_113.00_-23.00_0.50 252.79 0.99 11311
D_113.00_-23.50_0.50 217.81 0.99 11271
D_113.00_-24.00_0.50 249.38 0.99 11230
D_113.00_-24.50_0.50 313.70 0.99 11189
D_113.00_-25.00_0.50 237.32 0.99 11146
D_113.00_-25.50_0.50 329.08 0.99 11103
D_113.00_-26.00_0.50 268.18 0.99 11059
D_113.00_-26.50_0.50 51.32 0.99 11014
D_113.00_-27.00_0.50 109.14 0.99 10968
D_113.00_-27.50_0.50 97.85 0.99 10922
D_113.00_-28.00_0.50 40.79 0.99 10874
D_113.00_-28.50_0.50 59.60 0.99 10826
D_113.00_-29.00_0.50 51.89 1.00 10777
D_113.00_-29.50_0.50 24.35 1.00 10727
D_113.00_-30.00_0.50 95.99 1.00 10676
D_113.00_-30.50_0.50 92.16 1.00 10625
D_113.50_-19.00_0.50 131.77 0.99 11600
D_113.50_-19.50_0.50 369.92 0.99 11567
D_113.50_-20.00_0.50 265.81 0.99 11533
D_113.50_-20.50_0.50 228.73 0.99 11498
D_113.50_-21.00_0.50 83.98 0.99 11463
D_113.50_-21.50_0.50 174.29 0.99 11426
D_113.50_-22.00_0.50 341.60 0.99 11389
D_113.50_-22.50_0.50 533.07 0.99 11350
D_113.50_-23.00_0.50 357.86 0.99 11311
D_113.50_-23.50_0.50 187.53 0.99 11271
D_113.50_-24.00_0.50 361.84 0.99 11230
D_113.50_-24.50_0.50 273.08 0.99 11189
D_113.50_-25.00_0.50 141.25 0.99 11146
D_113.50_-25.50_0.50 226.69 0.99 11103
D_113.50_-26.00_0.50 183.42 0.99 11059
D_113.50_-27.00_0.50 88.30 0.99 10968
D_113.50_-27.50_0.50 95.54 0.99 10922
D_113.50_-28.00_0.50 77.29 0.99 10874
D_113.50_-28.50_0.50 49.24 0.99 10826
D_113.50_-29.00_0.50 33.20 1.00 10777
D_113.50_-29.50_0.50 25.45 1.00 10727
D_113.50_-30.00_0.50 44.19 1.00 10676
D_113.50_-30.50_0.50 42.43 1.00 10625
D_113.50_-34.00_0.50 12.23 1.00 10242
D_113.50_-34.50_0.50 12.23 1.00 10184
D_114.00_-19.00_0.50 1142.43 0.99 11600
D_114.00_-19.50_0.50 1118.66 0.99 11567
D_114.00_-20.00_0.50 459.99 0.99 11533
D_114.00_-20.50_0.50 265.21 0.99 11498
D_114.00_-21.00_0.50 237.27 0.99 11463
D_114.00_-21.50_0.50 247.53 0.99 11426
D_114.00_-22.00_0.50 353.61 0.99 11389
D_114.00_-22.50_0.50 512.68 0.99 11350
D_114.00_-23.00_0.50 358.09 0.99 11311
D_114.00_-23.50_0.50 142.28 0.99 11271
D_114.00_-24.00_0.50 274.54 0.99 11230
D_114.00_-24.50_0.50 207.82 0.99 11189
D_114.00_-25.00_0.50 28.05 0.99 11146
D_114.00_-25.50_0.50 46.80 0.99 11103
D_114.00_-26.00_0.50 63.04 0.99 11059
D_114.00_-26.50_0.50 27.54 0.99 11014
D_114.00_-27.00_0.50 30.43 0.99 10968
D_114.00_-27.50_0.50 57.73 0.99 10922
D_114.00_-28.00_0.50 94.09 0.99 10874
D_114.00_-28.50_0.50 60.14 0.99 10826
D_114.00_-29.00_0.50 56.04 1.00 10777
D_114.00_-29.50_0.50 47.78 1.00 10727
D_114.00_-30.00_0.50 42.43 1.00 10676
D_114.00_-30.50_0.50 40.73 1.00 10625
D_114.00_-32.00_0.50 45.70 1.00 10465
D_114.00_-32.50_0.50 72.58 1.00 10411
D_114.00_-33.00_0.50 97.53 1.00 10355
D_114.00_-33.50_0.50 66.62 1.00 10299
D_114.00_-34.00_0.50 113.60 1.00 10242
D_114.00_-34.50_0.50 44.70 1.00 10184
D_114.00_-35.00_0.50 25.63 1.00 10125
D_114.50_-18.50_0.50 178.95 0.99 11633
D_114.50_-19.00_0.50 709.74 0.99 11600
D_114.50_-19.50_0.50 625.42 0.99 11567
