Id,CODE,NAME,MMAX,MCOMP,YCOMP,TRT
4,ETAS,Eastern Tasmania,7.5,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Non-Cratonic
3,WTAS,Western Tasmania,7.5,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Non-Cratonic
5,OSGB,Otway-Sorell-Gippsland Basins,7.5,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Non-Cratonic
7,SAPM,South Australia Passive Margin,7.7,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Extended
1,GAWL,Gawler Craton,7.3,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
2,FMLR,Flinders-Mount Lofty Ranges,7.5,2.5;2.8;3.0;3.4;4.0;4.5;5.0;5.4;6.0,1980;1975;1965;1961;1957;1947;1900;1840,Non-Cratonic
1,YLGN,Yilgarn Craton,7.3,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
1,PLBR,Pilbara Craton,7.3,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
3,CARP,Central Australia Proterozioc,7.5,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
7,EAPM,East Australia Passive Margin,7.7,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Extended
4,TSMN,Tasmanides,7.5,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Non-Cratonic
1,KMBY,Kimberly Block,7.3,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
7,WAPM,West Australia Passive Margin,7.7,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Extended
3,NAOR,North Australia Orogens,7.5,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
1,NACR,North Australian Craton,7.3,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Cratonic
6,WAEP,Western Australian Rifted Margin,7.7,3.0;3.5;4.0;4.5;5.0;6.0;6.4,1980;1970;1965;1962;1958;1910;1880,Extended
