1945 12 28 1748 150.080 -5.808 60.0 7.50 MW 
1963 02 26 2014 146.308 -7.523 186.6 7.50 MW bibliog
1963 11 04 0117 129.605 -6.957 110.0 8.10 MW bibliog
1963 11 04 0117 129.605 -6.957 110.0 8.10 MW bibliog
1964 03 21 0342 127.948 -6.405 359.1 6.78 MW gcmt
1964 04 24 0556 144.329 -5.100 108.0 6.80 MW bibliog
1964 09 12 1243 144.010 -4.459 108.8 6.64 MW 
1964 10 18 1232 123.832 -7.220 586.3 6.94 MW gcmt
1964 10 18 1232 123.832 -7.220 586.3 6.94 MW gcmt
1965 08 20 0554 128.493 -5.714 330.0 6.71 MW gcmt
1965 11 21 1031 130.402 -6.193 133.3 6.55 MW gcmt
1965 11 21 1031 130.402 -6.193 133.3 6.55 MW gcmt
1966 06 22 2029 124.583 -7.240 531.8 6.98 MW gcmt
1966 06 22 2029 124.583 -7.240 531.8 6.98 MW gcmt
1969 02 11 2216 126.581 -6.784 430.5 7.22 MW gcmt
1969 05 13 1430 120.792 -7.221 631.7 6.38 MW gcmt
1969 05 13 1430 120.792 -7.221 631.7 6.38 MW gcmt
1969 08 04 1719 125.331 -5.639 525.1 6.35 MW gcmt
1969 08 04 1719 125.331 -5.639 525.1 6.35 MW gcmt
1970 02 13 1543 112.997 -5.923 622.8 6.46 MW gcmt
1970 02 13 1543 112.997 -5.923 622.8 6.46 MW gcmt
1970 06 28 0130 124.000 -8.683 85.8 6.60 MW bibliog
1970 10 31 1753 145.396 -4.999 60.0 6.90 MW bibliog
1971 07 08 1907 129.653 -7.071 105.5 6.21 MW 
1971 07 08 1907 129.653 -7.071 105.5 6.21 MW 
1972 04 04 2243 125.544 -7.432 390.0 6.78 MW gcmt
1972 11 27 1517 126.556 -5.339 424.6 6.33 MW gcmt
1975 04 09 0626 152.595 -4.069 130.4 6.58 MW gcmt
1975 09 02 1532 121.750 -9.983 65.0 6.29 MW 
1975 12 25 2322 142.106 -4.102 113.1 6.90 MW bibliog
1976 01 23 0545 119.889 -7.434 614.1 6.74 MW gcmt
1976 01 23 0545 119.889 -7.434 614.1 6.74 MW gcmt
1976 05 22 1012 148.328 -5.686 163.6 6.26 MW 
