OBJECTID,neotec_num,code,name,Shape_Leng,Shape_Area
1,1,1a,Domain 1,22.60443715,34.34903008
2,1,1b,Domain 1,57.01928482,208.8712921
3,2,2,Domain 2,21.85368279,26.86674426
4,3,3a,Domain 3,21.74027202,18.25505703
5,3,3b,Domain 3,64.57814091,158.1716782
6,4,4,Domain 4,63.80587476,216.1507997
7,5,5,Domain 5,37.94739687,36.28434199
8,6,6,Domain 6,79.09998824,114.1106041
9,7,7a,Domain 7,65.01463997,86.79879673
10,7,7b,Domain 7,70.69453358,90.29078552
11,7,7c,Domain 7,61.63225265,52.25934768
12,8,8,Domain 8,42.68579238,111.7386328
