DATETIME,LON,LAT,DEP,MW,SRC
1981-11-15 16:58:11,150.850,-34.210,18.0,4.10,AUST
1989-12-27 23:26:00,151.610,-32.950,10.5,5.42,Allen (2012)
1993-07-24 13:33:00,146.490,-38.350,15.0,3.19,Allen (2012)
1993-09-25 02:40:00,146.530,-38.310,10.2,3.32,Allen (2012)
1994-02-01 05:53:00,146.350,-38.540,17.1,3.72,Allen (2012)
1994-05-21 08:59:00,146.960,-36.030,3.0,3.17,Allen (2012)
1994-08-06 11:03:00,151.290,-32.920,0.6,4.71,Allen (2012)
1995-01-03 13:51:00,150.480,-34.530,7.0,2.89,Allen (2012)
1995-01-11 07:11:00,145.990,-38.170,8.7,3.15,Allen (2012)
1995-02-01 10:21:00,146.260,-38.460,10.1,3.07,Allen (2012)
1995-03-26 06:53:00,147.230,-35.960,3.7,3.19,Allen (2012)
1995-05-03 04:24:00,150.250,-33.190,10.7,3.23,Allen (2012)
1995-05-03 17:48:00,146.280,-38.470,15.0,3.36,Allen (2012)
1995-05-20 11:29:00,150.080,-33.870,13.8,3.49,Allen (2012)
1995-07-21 14:26:00,148.860,-36.030,4.8,3.31,Allen (2012)
1995-07-29 13:43:00,148.740,-34.280,2.8,2.94,Allen (2012)
1995-07-30 04:41:00,147.660,-36.760,11.3,3.52,Allen (2012)
1995-08-17 01:41:00,148.740,-34.310,3.6,2.93,Allen (2012)
1995-08-19 09:01:00,148.740,-34.310,1.3,3.14,Allen (2012)
1995-09-12 10:23:00,148.720,-34.310,1.1,3.16,Allen (2012)
1995-10-14 04:11:00,148.760,-34.320,3.0,3.23,Allen (2012)
1995-11-18 09:32:00,144.760,-37.110,13.5,3.55,Allen (2012)
1996-01-16 10:30:00,145.070,-38.280,10.7,3.00,Allen (2012)
1996-02-18 19:34:00,148.670,-36.150,12.8,3.50,Allen (2012)
1996-05-10 05:48:00,146.150,-37.730,10.6,2.96,Allen (2012)
1996-08-13 12:33:00,149.210,-34.750,1.0,2.99,Allen (2012)
1996-09-25 04:53:00,146.430,-37.860,10.8,3.34,Allen (2012)
1996-09-25 07:49:00,146.420,-37.860,11.4,4.44,Allen (2012)
1996-10-01 21:42:00,150.390,-33.830,8.7,3.17,Allen (2012)
1996-12-10 12:54:00,150.500,-34.150,12.3,3.10,Allen (2012)
1996-12-10 12:58:00,150.500,-34.150,12.4,2.87,Allen (2012)
1996-12-24 22:28:00,145.530,-38.700,17.2,3.29,Allen (2012)
1997-05-04 22:33:00,145.960,-38.140,14.0,3.21,Allen (2012)
1997-06-27 03:20:00,146.090,-36.780,8.6,3.85,Allen (2012)
