eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType,mx_origML,mx_origType,mx_revML,pref_mw
183703140000,Garran,1837,3,14,0,0,0,,145,-38.1,,,,10,,3.38,,MW,3.5,ML,3.27,3.38
183707231855,ADE,1837,7,23,18,55,0,,138.6,-34.9,,,,7,,3.63,,MW,3.9,ML,3.64,3.63
184003310630,ADE,1840,3,31,6,30,0,,138.6,-34.9,,,,7,,2.89,,MW,2.7,ML,2.53,2.89
184101272155,KMcC,1841,1,27,21,55,0,,151.6,-32.8,,,,10,,4.28,,MW,4.9,ML,4.57,4.28
184104211500,GG,1841,4,21,15,0,0,,145,-38,,,,nan,,3.69,,MW,4,ML,3.74,3.69
184110300000,GG,1841,10,30,0,0,0,,145,-38,,,,10,,3.69,,MW,4,ML,3.74,3.69
184210271930,KMcC,1842,10,27,19,30,0,,151.6,-32.6,,,,10,,4.68,,MW,5.3,ML,4.95,4.68
184704280630,RobUnd,1847,4,28,6,30,0,,144.8,-37.8,,,,10,,3.69,,MW,4,ML,3.74,3.69
184809130630,ADE,1848,9,13,6,30,0,,138.6,-34.9,,,,7,,3.07,,MW,3,ML,2.81,3.07
184809141830,ADE,1848,9,14,18,30,0,,138.9,-33.7,,,,10,,3.44,,MW,3.6,ML,3.37,3.44
184810120130,RobUnd,1848,10,12,1,30,0,,144.8,-37.8,,,,10,,3.07,,MW,3,ML,2.81,3.07
184811010000,Osburne,1848,11,1,0,0,0,,142.5,-38.4,,,,10,,3.07,,MW,3,ML,2.81,3.07
185009240000,GG,1850,9,24,0,0,0,,149,-35,,,,nan,,3.69,,MW,4,ML,3.74,3.69
185205191030,ADE,1852,5,19,10,30,0,,138.517,-35.15,,,,7,,2.89,,MW,2.7,ML,2.53,2.89
185309151630,ADE,1853,9,15,16,30,0,,138.11,-32.85,,,,11,,4,,MW,4.5,ML,4.2,4
185502182200,ADE,1855,2,18,22,0,0,,138.95,-34.35,,,,7,,3.57,,MW,3.8,ML,3.55,3.57
185502231900,ADE,1855,2,23,19,0,0,,138.95,-34.35,,,,7,,3.14,,MW,3.1,ML,2.9,3.14
185509161712,GG,1855,9,16,17,12,0,,144.8,-38.7,,,,10,,4.88,,MW,5.5,ML,5.13,4.88
185606241650,ADE,1856,6,24,16,50,0,,138.7,-34.65,,,,7,,3.94,,MW,4.4,ML,4.11,3.94
185704271420,ADE,1857,4,27,14,20,0,,138.18,-35.833,,,,7,,3.26,,MW,3.3,ML,3.09,3.26
185808211245,ADE,1858,8,21,12,45,0,,139,-34.567,,,,8,,3.51,,MW,3.7,ML,3.46,3.51
185808211745,ADE,1858,8,21,17,45,0,,139,-34.567,,,,8,,3.2,,MW,3.2,ML,2.99,3.2
185808220930,ADE,1858,8,22,9,30,0,,139,-34.567,,,,8,,3.2,,MW,3.2,ML,2.99,3.2
185808231430,ADE,1858,8,23,14,30,0,,139,-34.567,,,,8,,2.89,,MW,2.7,ML,2.53,2.89
185906120830,ADE,1859,6,12,8,30,0,,140.783,-37.833,,,,9,,3.63,,MW,3.9,ML,3.64,3.63
185911211850,Leiba,1859,11,21,18,50,0,,145.2,-40.7,,,,10,,4.78,,MW,5.4,ML,5.04,4.78
186212142055,ADE,1862,12,14,20,55,0,,138.7,-34.067,,,,8,,3.81,,MW,4.2,ML,3.92,3.81
186608241245,ADE,1866,8,24,12,45,0,,138.867,-34.883,,,,7,,3.75,,MW,4.1,ML,3.83,3.75
186612022020,ADE,1866,12,2,20,20,0,,139.133,-33.367,,,,8,,3.26,,MW,3.3,ML,3.09,3.26
186612290400,Qld Met,1866,12,29,4,0,0,,142.6,-11.7,,,,10,,2.58,,MW,2.2,ML,2.06,2.58
186806181358,KMcC,1868,6,18,13,58,0,,151.6,-32.8,,,,10,,4.68,,MW,5.3,ML,4.95,4.68
186808291850,RobUnd,1868,8,29,18,50,0,,147,-37,,,,10,,4.38,,MW,5,ML,4.67,4.38
186808301035,RobUnd,1868,8,30,10,35,0,,147,-37,,,,10,,3.69,,MW,4,ML,3.74,3.69
186810280345,ADE,1868,10,28,3,45,0,,138.7,-33.58,,,,7,,3.87,,MW,4.3,ML,4.02,3.87
186810281944,ADE,1868,10,28,19,44,0,,138.7,-33.58,,,,7,,3.38,,MW,3.5,ML,3.27,3.38
186811010740,ADE,1868,11,1,7,40,0,,138.7,-33.58,,,,7,,2.89,,MW,2.7,ML,2.53,2.89
187101110745,ADE,1871,1,11,7,45,0,,138.833,-33.783,,,,10,,3.63,,MW,3.9,ML,3.64,3.63
187101121155,ADE,1871,1,12,11,55,0,,139,-32.667,,,,11,,3.32,,MW,3.4,ML,3.18,3.32
187106080410,Spennemann,1871,6,8,4,10,0,,148.1,-35.3,,,,10,,4.68,,MW,5.3,ML,4.95,4.68
187201031215,Spennemann,1872,1,3,12,15,0,,148.1,-35.5,,,,10,,4.28,,MW,4.9,ML,4.57,4.28
187201301340,ADE,1872,1,30,13,40,0,,138.883,-34.067,,,,9,,4.18,,MW,4.8,ML,4.48,4.18
187203300000,Qld Met,1872,3,30,0,0,0,,151.5,-25.5,,,,10,,2.58,,MW,2.2,ML,2.06,2.58
187206080940,ADE,1872,6,8,9,40,0,,138.95,-33.95,,,,7,,3.75,,MW,4.1,ML,3.83,3.75
187208121200,BRS,1872,8,12,12,0,0,,152,-26.75,,,,10,,3.07,,MW,3,ML,2.81,3.07
187208311200,UQ,1872,8,31,12,0,0,,152.1,-26.75,,,,10,,3.2,,MW,3.2,ML,2.99,3.2
187210180853,KMcC,1872,10,18,8,53,0,,150,-33.7,,,,10,,4.68,,MW,5.3,ML,4.95,4.68
187304220600,Gliddon,1873,4,22,6,0,0,,145.25,-38.5,,,,10,,3.38,,MW,3.5,ML,3.27,3.38
187312150400,E.T.,1873,12,15,4,0,0,,127.5,-26.25,,,,0,,6.14,,MW,6,MS,6,6.14
187509162000,BMR,1875,9,16,20,0,0,,152.5,-27.5,,,,0,,3.07,,MW,3,ML,2.81,3.07
187511111050,BRS,1875,11,11,10,50,0,,148.5,-22,,,,0,,3.87,,MW,4.3,ML,4.02,3.87
187511241100,BRS,1875,11,24,11,0,0,,152,-28.1,,,,10,,3.63,,MW,3.9,ML,3.64,3.63
187603191530,ADE,1876,3,19,15,30,0,,139.083,-34.517,,,,7,,3.51,,MW,3.7,ML,3.46,3.51
187603220930,ADE,1876,3,22,9,30,0,,139.083,-34.517,,,,7,,3.14,,MW,3.1,ML,2.9,3.14
187603221315,ADE,1876,3,22,13,15,0,,139.083,-34.517,,,,7,,3.38,,MW,3.5,ML,3.27,3.38
187702262145,BRS,1877,2,26,21,45,0,,152.8,-27.5,,,,10,,4,,MW,4.5,ML,4.2,4
187708211630,ADE,1877,8,21,16,30,0,,138.767,-35.017,,,,7,,2.89,,MW,2.7,ML,2.53,2.89
187803030245,BRS,1878,3,3,2,45,0,,153.2,-24.7,,,,10,,3.87,,MW,4.3,ML,4.02,3.87
187911300030,ADE,1879,11,30,0,30,0,,138.55,-33.817,,,,7,,3.81,,MW,4.2,ML,3.92,3.81
188001251130,ADE,1880,1,25,11,30,0,,138.367,-33.617,,,,9,,3.26,,MW,3.3,ML,3.09,3.26
188002030630,Leiba,1880,2,3,6,30,0,,146.4,-43,,,,10,,4.88,,MW,5.5,ML,5.13,4.88
188004280930,ADE,1880,4,28,9,30,0,,139.25,-35.333,,,,7,,3.75,,MW,4.1,ML,3.83,3.75
188007310700,BRS,1880,7,31,7,0,0,,148.4,-31,,,,10,,3.2,,MW,3.2,ML,2.99,3.2
188008101900,BRS,1880,8,10,19,0,0,,151.9,-28.9,,,,10,,3.44,,MW,3.6,ML,3.37,3.44
188010260100,BRS,1880,10,26,1,0,0,,151.6,-31,,,,10,,3.2,,MW,3.2,ML,2.99,3.2
188106071400,Gliddon,1881,6,7,14,0,0,,145.25,-38.5,,,,10,,3.38,,MW,3.5,ML,3.27,3.38
188203181630,ADE,1882,3,18,16,30,0,,138.9,-35.267,,,,7,,3.07,,MW,3,ML,2.81,3.07
188209180730,ADE,1882,9,18,7,30,0,,138.63,-34.517,,,,7,,3.14,,MW,3.1,ML,2.9,3.14
188210240000,ADE,1882,10,24,0,0,0,,139.85,-36.83,,,,10,,3.14,,MW,3.1,ML,2.9,3.14
188307071338,ADE,1883,7,7,13,38,0,,138.7,-35.1,,,,14,,3.81,,MW,4.2,ML,3.92,3.81
188307071343,ADE,1883,7,7,13,43,0,,138.7,-35.1,,,,14,,3.14,,MW,3.1,ML,2.9,3.14
188307071358,ADE,1883,7,7,13,58,0,,138.7,-35.1,,,,10,,4.12,,MW,4.7,ML,4.39,4.12
188308281655,BRS,1883,8,28,16,55,0,,151.7,-25.5,,,,10,,5.28,,MW,5.9,ML,5.51,5.28
188308281820,BRS,1883,8,28,18,20,0,,151.7,-25.5,,,,10,,4.58,,MW,5.2,ML,4.85,4.58
188312130000,RobUnd,1883,12,13,0,0,0,,149.107,-39.96,,,,10,,3.69,,MW,4,ML,3.74,3.69
188402140017,RobUnd,1884,2,14,0,17,0,,149,-40,,,,10,,3.07,,MW,3,ML,2.81,3.07
188402170525,Leiba,1884,2,17,5,25,0,,149.8,-40.3,,,,nan,,5.08,,MW,5.7,ML,5.32,5.08
188403050927,Leiba,1884,3,5,9,27,0,,149.5,-40.2,,,,nan,,4.98,,MW,5.6,ML,5.23,4.98
188403181220,RobUnd,1884,3,18,12,20,0,,149.2,-40.1,,,,10,,3.07,,MW,3,ML,2.81,3.07
188403261356,RobUnd,1884,3,26,13,56,0,,150,-37,,,,10,,3.69,,MW,4,ML,3.74,3.69
188403271120,RobUnd,1884,3,27,11,20,0,,149.1,-40.1,,,,10,,3.07,,MW,3,ML,2.81,3.07
188403281312,Leiba,1884,3,28,13,12,0,,148.9,-41.2,,,,nan,,5.28,,MW,5.9,ML,5.51,5.28
188405101230,Leiba,1884,5,10,12,30,0,,148.9,-41.2,,,,nan,,5.08,,MW,5.7,ML,5.32,5.08
188405102130,Leiba,1884,5,10,21,30,0,,148.9,-41.2,,,,nan,,5.28,,MW,5.9,ML,5.51,5.28
188405271022,Leiba,1884,5,27,10,22,0,,148.9,-41.2,,,,nan,,5.18,,MW,5.8,ML,5.41,5.18
188406091020,RobUnd,1884,6,9,10,20,0,,149.1,-39.9,,,,10,,3.69,,MW,4,ML,3.74,3.69
188406171017,Leiba,1884,6,17,10,17,0,,148.8,-39.8,,,,nan,,5.18,,MW,5.8,ML,5.41,5.18
188406171036,RobUnd,1884,6,17,10,36,0,,150,-37,,,,10,,3.07,,MW,3,ML,2.81,3.07
188406222045,Leiba,1884,6,22,20,45,0,,149.5,-40.3,,,,nan,,5.18,,MW,5.8,ML,5.41,5.18
188407120330,Leiba,1884,7,12,3,30,0,,148.9,-41.2,,,,nan,,4.58,,MW,5.2,ML,4.85,4.58
188407130355,Leiba,1884,7,13,3,55,0,,148.5,-40.5,,,,10,,5.78,,MW,6.4,ML,5.97,5.78
188408030240,RobUnd,1884,8,3,2,40,0,,148.9,-40.1,,,,10,,3.69,,MW,4,ML,3.74,3.69
188408071220,RobUnd,1884,8,7,12,20,0,,148.9,-39.9,,,,10,,3.69,,MW,4,ML,3.74,3.69
188408140915,RobUnd,1884,8,14,9,15,0,,148.95,-40.05,,,,10,,3.69,,MW,4,ML,3.74,3.69
188409151341,ADE,1884,9,15,13,41,0,,138.833,-32.983,,,,6,,2.95,,MW,2.8,ML,2.62,2.95
188409161150,RobUnd,1884,9,16,11,50,0,,149.15,-40.05,,,,10,,4.38,,MW,5,ML,4.67,4.38
188409191027,Leiba,1884,9,19,10,27,0,,149.5,-40.8,,,,nan,,5.78,,MW,6.4,ML,5.97,5.78
188501051220,BMR,1885,1,5,12,20,0,,114,-29,,,,0,,6.57,,MW,6.5,MS,6.5,6.57
188501091735,RobUnd,1885,1,9,17,35,0,,145.3,-38.2,,,,10,,3.69,,MW,4,ML,3.74,3.69
188501210110,BMR,1885,1,21,1,10,0,,149.1,-36.3,,,,10,,4.06,,MW,4.6,ML,4.3,4.06
188501301505,RobUnd,1885,1,30,15,5,0,,148.83,-39.81,,,,10,,5.38,,MW,6,ML,5.6,5.38
188502081505,RobUnd,1885,2,8,15,5,0,,149.05,-39.9,,,,10,,3.69,,MW,4,ML,3.74,3.69
188502211000,RobUnd,1885,2,21,10,0,0,,149,-39.8,,,,10,,3.69,,MW,4,ML,3.74,3.69
188502211815,RobUnd,1885,2,21,18,15,0,,149,-40.2,,,,10,,3.69,,MW,4,ML,3.74,3.69
188502271200,RobUnd,1885,2,27,12,0,0,,148.9,-39.9,,,,10,,4.38,,MW,5,ML,4.67,4.38
188503091320,RobUnd,1885,3,9,13,20,0,,144.9,-37.8,,,,10,,3.07,,MW,3,ML,2.81,3.07
188503151950,RobUnd,1885,3,15,19,50,0,,148.99,-39.8,,,,10,,3.69,,MW,4,ML,3.74,3.69
188503152300,RobUnd,1885,3,15,23,0,0,,148.99,-40.1,,,,10,,3.69,,MW,4,ML,3.74,3.69
188503160945,MELOBS,1885,3,16,9,45,0,,149.12,-40.12,,,,10,,3.07,,MW,3,ML,2.81,3.07
188503202303,Leiba,1885,3,20,23,3,0,,149.5,-40.5,,,,nan,,5.28,,MW,5.9,ML,5.51,5.28
188503220805,RobUnd,1885,3,22,8,5,0,,148.9,-40.13,,,,10,,3.69,,MW,4,ML,3.74,3.69
188503221830,RobUnd,1885,3,22,18,30,0,,149,-39.82,,,,10,,4.38,,MW,5,ML,4.67,4.38
188503260850,RobUnd,1885,3,26,8,50,0,,148.8,-40,,,,10,,3.69,,MW,4,ML,3.74,3.69
188503301125,RobUnd,1885,3,30,11,25,0,,148.826,-40.015,,,,10,,4.38,,MW,5,ML,4.67,4.38
188505041100,RobUnd,1885,5,4,11,0,0,,149.18,-39.887,,,,10,,4.38,,MW,5,ML,4.67,4.38
188505041250,RobUnd,1885,5,4,12,50,0,,149.076,-39.828,,,,10,,4.38,,MW,5,ML,4.67,4.38
