eve_id latitude longitude year month day hour minute second Mw Mw_min Mw_max misfit no_traces closest_sta M_GG M_GG_type M_USGS M_USGS_type Mw_ref
3313898 -30.2248 117.8609 2009 1 30 17 33 8.0 3.73851765127 3.64015407179 3.79395702087 0.379 9 118.803420402 4.1 0.0 nan nan nan
3605051 -30.2858 118.2969 2009 2 1 0 42 39.0 4.06559015701 3.8480576334 4.15679248535 0.579 6 156.801189199 4.0 0.0 nan nan nan
3605680 -30.2954 118.3151 2009 2 1 21 57 39.0 3.6455427344 3.55884722567 3.69291482016 0.38 10 158.253042207 4.0 0.0 nan nan nan
2544437 -33.9041 117.5254 2007 10 9 23 58 39.0 4.81432559082 4.76303693756 4.8474841776 0.469 6 246.541350008 4.8 0.0 4.5 1.0 nan
3330944 -21.809 114.7773 2011 12 5 19 10 3.0 5.27528942784 5.23127842559 5.33096240871 0.428 12 108.010138607 5.1 0.0 5.2 2.0 5.2
5165632 -22.5819 120.8975 2015 10 13 6 54 57.0 4.08346997384 4.04952614759 4.10132936441 0.343 19 505.247345788 4.4 0.0 4.3 1.0 4.1
3288130 -23.4761 119.4159 2011 5 20 20 3 26.0 5.20533016794 5.11640155484 5.19872910355 0.494 8 538.948947247 4.5 1.0 4.7 1.0 nan
3317839 -20.979 120.5009 2011 7 14 5 51 32.0 4.27017587424 4.12393366085 4.37058938784 0.622 9 626.17341527 4.5 0.0 4.0 1.0 nan
4813422 -20.1 119.534 2014 9 26 15 38 16.0 4.0182805356 3.86261344126 4.03484603216 0.547 5 679.350840894 4.2 0.0 4.4 1.0 nan
4768746 -18.7699 123.6447 2014 7 23 19 56 19.0 nan nan nan nan nan nan nan nan nan nan nan
2761322 -26.1361 125.298 2008 7 9 23 45 17.0 4.62308624851 nan 4.7851491121 0.557 5 581.2235626 4.5 0.0 4.5 0.0 nan
3766194 -27.757 125.943 2012 11 28 22 35 22.0 3.89064260361 3.82832836811 3.92284405316 0.506 10 381.956829062 4.0 0.0 4.2 1.0 nan
3855875 -27.4102 125.3824 2009 11 3 6 54 9.0 nan nan nan nan nan nan 3.4 0.0 nan nan nan
2761432 -25.9801 125.3862 2008 7 10 0 5 24.0 nan nan nan nan nan nan 3.6 0.0 3.6 0.0 nan
4533144 -21.6599 128.1644 2011 7 12 1 19 55.0 nan nan nan nan nan nan nan nan nan nan nan
4641604 -23.005 128.589 2014 5 4 22 37 54.0 3.9145583862 3.93222468888 4.0040273821 0.568 5 227.080132135 3.6 0.0 4.2 1.0 nan
5185437 -22.904 128.602 2016 5 16 20 13 20.0 4.14534552794 4.05317809642 4.21217670619 0.593 8 238.343634178 3.7 0.0 4.2 1.0 nan
5183272 -25.5655 129.8841 2016 5 20 18 14 4.0 6.08748866678 6.02487254531 6.14941488636 0.377 15 170.274622452 nan nan 6.0 2.0 6.0
5183348 -25.5518 129.8866 2016 5 21 9 8 37.0 3.76686203652 3.70525178459 3.82029484774 0.557 8 170.004962082 3.9 0.0 4.2 1.0 nan
5183345 -25.5802 129.8082 2016 5 21 8 46 44.0 3.79898370608 3.74456142252 3.84748320713 0.52 8 163.70010846 4.1 0.0 4.4 1.0 nan
5184592 -25.5312 129.7727 2016 5 21 11 8 32.0 3.97533790313 3.89892355486 4.02666672053 0.573 5 605.411112171 3.5 0.0 4.1 1.0 nan
5190874 -25.5173 129.8064 2016 8 6 21 16 34.0 3.7958898168 3.80998055783 3.89927068729 0.557 5 607.818574645 nan nan 4.2 1.0 nan
3278415 -21.1357 135.4884 2011 2 21 21 59 35.0 3.96516028725 3.91509904582 4.02994822362 0.537 7 433.199280477 4.4 0.0 4.0 2.0 4.0
4821193 -21.6482 131.1734 2014 12 1 10 25 16.0 4.57884044982 4.32124412552 4.60491116075 0.791 6 383.809758771 3.7 0.0 4.5 1.0 nan
3804037 -19.9426 134.0001 2009 9 5 3 0 52.0 4.02689519456 4.20789669741 4.24478828916 0.841 5 36.7443998994 4.0 1.0 nan nan nan
4810820 -19.942 133.872 2014 9 1 23 1 33.0 3.90421639096 3.85042287919 4.01030508294 0.492 9 602.842293716 3.9 0.0 4.3 1.0 nan
4209934 -19.9799 133.7726 2010 11 29 11 16 39.0 4.09130544859 3.97759948054 4.18535153059 0.486 5 68.9198079843 4.1 1.0 nan nan nan
4224827 -19.777 133.953 2013 7 18 11 39 11.0 3.97888300207 3.8731834534 4.05009703324 0.485 11 43.6058626445 4.2 0.0 4.4 1.0 nan
5167583 -19.784 133.938 2015 11 3 1 7 44.0 3.95891745015 3.85527942301 4.01216158877 0.532 7 46.7018370225 3.9 0.0 4.3 1.0 nan
5181226 -19.77 133.888 2016 4 28 16 52 44.0 3.74659945579 3.78116183949 3.84999650906 0.568 8 707.51598292 4.4 1.0 4.4 1.0 nan
3336628 -26.151 132.1815 2012 3 23 9 25 17.0 5.17907791398 5.12370496625 5.21422645793 0.376 9 409.329179047 5.7 0.0 5.3 2.0 5.3
4219934 -25.9665 131.9755 2013 6 9 14 22 12.0 5.37583305207 5.33155381169 5.41473680037 0.382 12 383.943887039 5.7 0.0 5.3 2.0 5.43
4903192 -26.1592 132.158 2012 4 8 11 56 6.0 nan nan nan nan nan nan 3.7 0.0 nan nan nan
3284316 -20.0047 147.6764 2011 4 16 5 31 19.0 5.08320697244 4.99712868851 5.12093564779 0.292 14 149.506526408 5.3 0.0 5.0 2.0 5.04
3322338 -20.1866 147.7596 2011 9 17 16 28 27.0 3.86361136775 3.81934235452 3.91803112354 0.366 10 158.217509946 4.0 0.0 4.3 1.0 nan
3284319 -20.3397 147.5959 2011 4 16 7 6 55.0 3.94590956437 3.79482213504 3.90277023791 0.543 9 143.395196905 4.2 0.0 4.0 1.0 nan
2682591 -22.5045 148.0548 2008 5 9 5 11 39.0 nan nan nan nan nan nan nan nan nan nan nan
5005731 -25.219 151.374 2015 2 15 15 57 10.0 4.75768847795 4.71240312465 4.8412974494 0.352 15 33.808591692 5.2 0.0 4.9 1.0 4.8
3341035 -30.759 150.413 2012 6 8 11 31 0.0 3.99009655488 4.00180185054 4.05786905835 0.394 18 122.618864034 4.4 0.0 4.0 2.0 4.03
3344003 -30.748 150.4 2012 6 8 11 32 39.0 4.0935475114 4.0858374213 4.1632689164 0.487 16 436.346288132 4.3 0.0 4.1 0.0 nan
3630077 -38.3528 145.6179 2009 3 6 9 55 39.0 4.36089486673 4.32491451933 4.38260314554 0.337 15 87.4505285855 4.6 0.0 4.5 1.0 4.45
3639089 -38.2942 145.7896 2009 3 18 5 28 21.0 4.37992597544 4.36662521762 4.43389330207 0.372 15 84.4236055168 4.6 0.0 4.3 1.0 4.42
3317149 -38.3908 145.8159 2011 7 5 1 32 12.0 4.10288269041 4.05280055096 4.12832295981 0.361 14 95.3345446118 4.4 0.0 4.4 1.0 nan
3341494 -38.304 146.2 2012 6 19 10 53 29.0 4.89281366228 4.85551065634 4.91560116986 0.358 30 102.473818928 5.6 0.0 5.2 1.0 4.93
3344116 -38.282 146.164 2012 7 20 9 11 31.0 4.37097285626 4.28604996852 4.41796314296 0.463 15 98.6208996081 4.4 0.0 4.6 1.0 nan
4600457 -32.796 139.541 2014 4 29 9 54 56.0 4.12227657549 4.06235563137 4.18825756849 0.546 34 91.0738461827 4.8 0.0 4.6 1.0 4.1
2865016 -32.6247 139.0574 2009 1 26 0 29 18.0 3.89973497387 3.87047149511 3.96111165182 0.464 12 281.860675493 4.5 0.0 4.6 1.0 nan
3180924 -32.7035 139.8906 2010 10 10 2 30 18.0 4.05937398997 3.84748230945 4.14903379946 0.431 15 121.19710806 4.1 0.0 4.5 1.0 nan
3321581 -32.8956 138.6942 2011 9 4 11 15 10.0 4.17984196946 4.06383914694 4.22334309834 0.455 9 63.0161473155 4.1 0.0 4.1 1.0 nan
2877295 -32.1116 138.0446 2010 7 30 21 29 22.0 3.77631826632 3.79758960867 3.85267338079 0.516 10 202.130207269 4.0 1.0 4.2 1.0 nan
3330314 -32.1294 138.7914 2011 10 15 10 38 11.0 4.06839820449 3.94517125467 4.10394505911 0.465 6 144.819168017 4.4 0.0 4.6 1.0 nan
5197123 -19.1015 128.0019 2016 11 6 9 54 32.0 4.48137780323 4.43710329707 4.49955664298 0.238 13 387.536668784 nan nan nan nan nan
