eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency,flag
16957713,1900,7,29,6,59,0,165.0,-10.0,0.0,7.58,MW,,0
16957718,1900,10,9,12,28,0,-142.0,60.0,0.0,7.69,MW,,0
16957719,1900,10,29,9,11,0,-66.0,11.0,0.0,7.69,MW,,0
16957737,1901,8,9,13,1,0,170.0,-22.0,0.0,7.92,MW,,0
16957736,1901,8,9,18,33,0,144.0,40.0,0.0,7.47,MW,,0
16957763,1902,4,19,2,23,0,-91.0,14.0,0.0,7.47,MW,,0
16957769,1902,8,22,3,0,0,77.0,40.0,0.0,7.69,MW,,0
16957777,1902,9,22,1,46,0,146.0,18.0,0.0,7.47,MW,,0
16957778,1902,9,23,20,18,0,-93.0,16.0,0.0,7.81,MW,,0
16957788,1903,1,14,1,47,0,-98.0,15.0,0.0,7.69,MW,,0
16957819,1904,6,25,21,0,37,160.445,52.864,30.0,7.7,MW,bibliog,0
16957848,1905,4,4,0,49,59,76.788,32.636,20.0,7.9,MW,bibliog,0
16957859,1905,7,9,9,40,39,98.483,49.709,15.0,8.33,MW,bibliog,0
16957865,1905,7,23,2,46,22,96.61,49.369,15.0,7.95,MW,bibliog,0
16957871,1905,9,8,1,43,2,15.784,38.636,15.0,7.16,MW,,0
16957879,1905,12,4,12,20,7,38.83,37.216,15.0,5.56,MW,,0
16957883,1906,1,21,13,49,33,138.101,34.167,300.0,7.4,MW,bibliog,0
16957905,1906,4,18,13,12,27,-122.403,38.056,10.0,7.7,MW,bibliog,0
16957912,1906,8,17,0,11,10,178.18,51.853,110.0,8.3,MW,bibliog,0
16957935,1906,12,22,18,21,11,85.572,44.284,15.0,7.76,MW,,0
16957943,1907,1,4,5,19,11,94.209,1.873,15.0,7.8,MW,bibliog,0
16957951,1907,4,15,6,8,25,-97.304,16.513,30.0,7.8,MW,bibliog,0
16957956,1907,5,4,5,51,1,152.821,-6.708,25.0,6.63,MW,,0
16957975,1907,10,21,4,23,43,70.585,39.179,20.0,7.41,MW,,0
16957984,1908,2,9,18,13,17,100.656,29.278,15.0,6.69,MW,,0
16958007,1908,12,12,12,54,57,96.773,26.948,15.0,6.95,MW,,0
16958009,1908,12,28,4,20,26,15.349,38.0,15.0,7.03,MW,,0
16958018,1909,3,13,14,29,0,142.29,35.407,15.0,7.11,MW,,0
16958043,1909,7,7,21,37,47,70.251,35.387,200.0,7.7,MW,bibliog,0
16958045,1909,7,30,10,51,51,-99.427,16.471,20.0,7.5,MW,bibliog,0
16958054,1909,10,20,23,41,22,69.333,28.074,35.0,7.0,MW,,0
16958079,1910,4,12,0,22,24,123.973,25.911,235.0,8.1,MW,bibliog,0
16958089,1910,6,16,6,30,43,169.438,-19.572,100.0,7.85,MW,,0
16958113,1910,11,9,6,2,0,166.904,-16.289,20.0,7.31,MW,,0
16958127,1910,12,16,14,44,55,126.051,4.685,15.0,7.61,MW,,0
16958129,1911,1,1,10,18,1,66.571,37.334,35.0,6.69,MW,,0
16958130,1911,1,3,23,25,48,78.53,43.013,20.0,7.7,MW,bibliog,0
16958134,1911,2,18,18,41,9,72.628,38.331,15.0,7.26,MW,,0
16958141,1911,4,18,18,14,27,56.305,30.46,15.0,6.5,MW,bibliog,0
16958148,1911,6,7,11,2,50,-102.442,18.517,30.0,7.6,MW,bibliog,0
16958149,1911,6,15,14,25,57,128.935,29.058,150.0,7.9,MW,bibliog,0
16958154,1911,7,12,4,7,38,127.103,8.546,15.0,7.69,MW,,0
16958156,1911,8,16,22,41,17,136.944,7.237,15.0,7.75,MW,,0
16958167,1911,10,14,23,23,59,80.279,30.759,20.0,6.49,MW,,0
16958175,1911,12,16,19,14,32,-99.994,17.159,30.0,7.3,MW,,0
16958205,1912,8,9,1,29,3,27.023,40.638,15.0,7.12,MW,,0
16958211,1912,9,29,20,51,23,136.888,7.299,15.0,7.47,MW,,0
914043,1913,3,14,8,45,4,126.121,5.354,15.0,7.77,MW,,0
914073,1913,5,30,11,47,11,151.767,-4.685,15.0,7.16,MW,,0
914076,1913,6,14,9,33,19,25.952,43.603,15.0,6.63,MW,,0
914078,1913,6,26,4,57,19,-173.854,-20.53,25.0,7.74,MW,,0
914087,1913,8,1,17,11,3,156.005,48.117,15.0,6.87,MW,,0
914088,1913,8,6,22,14,37,-73.823,-16.469,25.0,7.74,MW,,0
914108,1913,12,21,15,37,56,102.227,24.245,15.0,6.68,MW,,0
913984,1914,5,26,14,22,47,136.943,-1.829,15.0,8.1,MW,,0
913990,1914,6,25,19,7,25,101.82,-3.924,35.0,7.57,MW,,0
914001,1914,8,4,22,41,39,92.09,42.747,15.0,7.28,MW,,0
914008,1914,10,3,22,7,7,30.021,37.629,15.0,7.02,MW,,0
914010,1914,10,9,2,39,14,76.181,32.604,20.0,6.27,MW,,0
914014,1914,10,23,6,18,44,128.141,4.239,35.0,7.41,MW,,0
913880,1915,1,13,6,52,42,13.585,42.179,15.0,6.68,MW,,0
913884,1915,2,28,18,59,12,123.492,23.359,20.0,7.33,MW,,0
913898,1915,5,1,5,0,10,155.162,48.361,30.0,7.8,MW,bibliog,0
913925,1915,7,31,1,31,32,162.052,54.121,20.0,7.3,MW,,0
913942,1915,9,23,8,14,47,38.688,14.484,10.0,6.23,MW,,0
913944,1915,10,3,6,53,21,-117.654,40.258,10.0,6.8,MW,bibliog,0
913954,1915,12,3,2,39,24,91.64,27.7,15.0,6.55,MW,,0
913957,1915,12,17,7,5,5,79.177,41.711,20.0,6.45,MW,,0
913746,1916,1,1,13,20,49,152.548,-4.739,35.0,7.89,MW,,0
913749,1916,1,13,6,18,35,135.731,-3.196,25.0,7.12,MW,,0
913750,1916,1,13,8,20,32,138.011,-3.987,35.0,7.73,MW,,0
913755,1916,1,24,6,55,13,37.329,40.074,15.0,6.96,MW,,0
913761,1916,2,6,21,51,33,179.051,50.459,15.0,6.99,MW,,0
913843,1916,8,28,6,39,41,80.745,29.73,20.0,6.96,MW,,0
913864,1916,10,31,15,31,0,157.998,49.755,15.0,7.28,MW,,0
913481,1917,4,29,11,55,30,115.329,56.285,10.0,6.48,MW,,0
913483,1917,5,1,18,26,20,-176.461,-31.08,15.0,8.2,MW,bibliog,0
913517,1917,5,31,8,47,32,-159.433,54.934,35.0,7.4,MW,bibliog,0
913548,1917,6,26,5,49,46,-173.562,-14.739,15.0,8.0,MW,bibliog,0
913586,1917,7,29,21,52,32,141.572,-3.687,35.0,7.41,MW,,0
913594,1917,7,30,23,54,9,104.188,28.379,15.0,6.91,MW,,0
913599,1917,8,5,15,50,25,176.437,-41.481,15.0,6.63,MW,,0
913745,1917,12,29,22,50,40,-96.487,15.592,20.0,6.93,MW,,0
913057,1918,2,7,5,20,20,126.059,6.993,35.0,6.86,MW,,0
913072,1918,2,13,6,7,18,117.104,23.582,15.0,7.32,MW,,0
913116,1918,4,13,0,51,22,85.517,-4.957,10.0,6.33,MW,,0
913126,1918,4,21,22,32,29,-117.433,33.647,10.0,6.7,MW,bibliog,0
913146,1918,5,20,14,36,7,-34.933,7.506,15.0,7.27,MW,,0
913147,1918,5,20,17,55,7,-71.857,-29.292,20.0,6.81,MW,,0
913148,1918,5,20,18,3,40,153.171,-2.268,15.0,6.98,MW,,0
913160,1918,6,4,4,3,34,146.159,-6.447,15.0,6.23,MW,,0
913190,1918,7,1,6,8,35,126.468,8.957,35.0,6.51,MW,,0
913192,1918,7,3,6,52,8,143.404,-3.211,15.0,7.49,MW,,0
913196,1918,7,8,10,22,8,90.853,24.599,15.0,7.19,MW,,0
913206,1918,7,21,6,9,45,155.548,-7.331,20.0,6.65,MW,,0
913212,1918,7,29,16,50,21,143.91,-3.111,15.0,6.62,MW,,0
913219,1918,8,8,9,48,5,152.344,-4.978,35.0,6.52,MW,,0
913230,1918,8,15,12,18,21,124.377,5.967,20.0,8.3,MW,bibliog,0
913231,1918,8,15,15,26,20,124.261,5.213,35.0,6.44,MW,,0
913232,1918,8,15,17,30,11,125.75,5.226,15.0,6.91,MW,,0
913233,1918,8,16,3,25,41,124.66,5.289,35.0,6.1,MW,,0
913246,1918,8,23,6,36,44,164.919,-10.789,15.0,6.5,MW,,0
913260,1918,9,7,17,16,23,150.653,46.737,15.0,8.1,MW,bibliog,0
913286,1918,9,22,9,55,0,100.09,-1.457,35.0,6.51,MW,,0
913295,1918,9,29,12,7,14,35.608,35.077,15.0,6.61,MW,,0
913306,1918,10,11,14,14,42,-67.219,18.802,15.0,7.1,MW,bibliog,0
913314,1918,10,14,12,0,14,-174.11,-20.65,30.0,6.35,MW,,0
913321,1918,10,19,3,23,4,-90.023,13.88,35.0,6.56,MW,,0
913330,1918,10,27,17,6,40,149.683,-1.402,15.0,7.24,MW,,0
913336,1918,11,8,4,38,9,151.896,44.893,15.0,7.79,MW,,0
913349,1918,11,23,22,57,42,129.148,-6.807,15.0,6.92,MW,,0
913358,1918,12,1,2,35,21,72.797,38.428,20.0,6.48,MW,,0
913359,1918,12,2,9,47,34,-43.549,11.391,10.0,7.14,MW,,0
913362,1918,12,4,11,47,50,-70.608,-26.538,40.0,7.83,MW,,0
913365,1918,12,6,8,41,7,-126.695,49.822,15.0,6.84,MW,,0
912699,1919,1,1,1,33,49,126.53,6.819,35.0,6.94,MW,,0
912700,1919,1,1,3,0,34,-178.106,-19.307,485.0,7.8,MW,bibliog,0
912712,1919,1,18,5,52,24,101.467,-4.577,35.0,6.3,MW,,0
912734,1919,3,2,3,26,35,-78.319,-43.8,15.0,7.24,MW,,0
912735,1919,3,2,11,45,15,-71.695,-43.109,15.0,7.25,MW,,0
912740,1919,3,9,3,16,58,-74.368,-41.421,15.0,6.84,MW,,0
912756,1919,4,2,0,34,59,104.487,-5.496,20.0,6.4,MW,,0
912761,1919,4,17,11,22,9,-178.11,-30.418,35.0,7.15,MW,,0
912762,1919,4,17,20,53,9,-91.715,14.229,35.0,6.82,MW,,0
912766,1919,4,21,11,26,12,-40.491,8.917,10.0,6.64,MW,,0
912770,1919,4,27,0,22,0,120.41,12.353,15.0,6.56,MW,,0
912773,1919,4,30,7,17,17,-172.515,-18.352,25.0,8.1,MW,bibliog,0
912776,1919,5,2,2,7,31,-173.647,-17.307,25.0,6.44,MW,,0
912783,1919,5,6,19,41,14,153.714,-4.852,35.0,7.75,MW,,0
912784,1919,5,7,5,13,54,153.594,-5.669,35.0,6.38,MW,,0
912797,1919,5,23,6,10,48,71.363,29.884,35.0,6.52,MW,,0
912823,1919,6,29,23,14,13,-88.291,12.33,20.0,6.61,MW,,0
912837,1919,7,8,21,6,14,31.566,-8.174,15.0,7.22,MW,,0
912862,1919,7,24,2,3,33,75.441,39.071,20.0,6.5,MW,,0
912906,1919,8,29,5,44,3,127.383,-3.019,15.0,6.91,MW,,0
912912,1919,8,31,17,20,35,167.194,-15.368,35.0,6.76,MW,,0
912961,1919,9,26,19,39,43,124.098,6.85,35.0,6.56,MW,,0
912979,1919,10,12,21,48,31,101.752,-4.179,25.0,6.47,MW,,0
913005,1919,11,18,21,54,54,26.53,39.498,10.0,6.51,MW,,0
913021,1919,12,20,20,37,34,121.787,22.514,20.0,6.9,MW,,0
912397,1920,1,4,4,22,16,-96.739,19.062,15.0,6.32,MW,,0
912401,1920,1,12,13,39,54,144.145,23.239,15.0,6.04,MW,,0
912404,1920,1,14,14,38,25,151.501,-5.883,15.0,6.22,MW,,0
912416,1920,1,30,18,26,47,-77.469,3.156,35.0,6.35,MW,,0
912419,1920,2,2,11,22,24,152.017,-4.967,35.0,7.81,MW,,0
912421,1920,2,7,11,50,42,-32.97,57.496,10.0,5.95,MW,,0
