RunAuth,Type,Ind,Ass,Year,Month,Day,Hour,Minute,Second,STCode,STCorr,LongitudeE,LatitudeS,Depth,ZCode,Mx,Mval,HDPlace
ADE,local,1,Preferred,1840,3,31,6,30,,UTC,0,138.6,34.9,7, ,MP,2.7,Adelaide; SA
KMcC,local,1,Preferred,1841,1,27,21,55,,AEST?,10,151.6,32.8,10,N,MP,4.9,Maitland; NSW
GG,local,1,Preferred,1841,4,21,15,0,,UTC,0,145,38,,,MP,4,Melbourne; Vic
GG,local,1,Preferred,1841,10,30,0,0,,UTC,0,145,38,10,N,MP,4,Melbourne; Vic
KMcC,local,1,Preferred,1842,10,27,19,30,,AEST?,10,151.6,32.6,10,N,MP,5.3,Newcastle; NSW
Underwood,local,1,Preferred,1847,4,28,6,30,,AEST?,10,144.8,37.8,10,N,MP,4,Melbourne; Vic
ADE,local,1,Preferred,1848,9,13,6,30,,ACST,9.5,138.6,34.9,7, ,MP,3,Adelaide; SA
ADE,local,1,Preferred,1848,9,14,18,30,,ACST,9.5,138.9,33.7,10, ,MP,3.6,Burra; SA
Underwood,local,1,Preferred,1848,10,12,1,30,,AEST?,10,144.8,37.8,10,N,MP,3,Melbourne; Vic
Osburne,local,1,Preferred,1848,11,1,0,0,,AEST?,10,142.5,38.4,10,N,MP,3,Warrnambool; Vic
GG,local,1,Preferred,1850,9,24,,,,UTC,0,149,35,,,MP,4,Yass; NSW
ADE,local,1,Preferred,1852,5,19,10,30,,UTC,0,138.517,35.15,7, ,MP,2.7,Morphett Vale; SA
ADE,local,1,Preferred,1853,9,15,16,30,,UTC,0,138.11,32.85,11, ,MP,4.5,Mt Remarkable; SA
ADE,local,2,Preferred,1855,2,18,22,0,,UTC,0,138.95,34.35,7, ,MP,3.8,Kapunda; SA
ADE,local,0,Preferred,1855,2,23,19,0,,UTC,0,138.95,34.35,7, ,MP,3.1,Kapunda; SA
GG,local,1,Preferred,1855,9,16,17,12,,AEST,10,144.8,38.7,10,N,MP,5.5,Bass Strait
ADE,local,1,Preferred,1856,6,24,16,50,,UTC,0,138.7,34.65,7, ,MP,4.4,Gawler; SA
ADE,local,1,Preferred,1857,4,27,14,20,,UTC,0,138.18,35.833,7, ,MP,3.3,Cape Willoughby; SA
ADE,local,2,Preferred,1858,8,21,12,45,,UTC,0,139,34.567,8, ,MP,3.7,Tanunda; SA
ADE,local,0,Preferred,1858,8,21,17,45,,UTC,0,139,34.567,8, ,MP,3.2,Tanunda; SA
ADE,local,0,Preferred,1858,8,22,9,30,,UTC,0,139,34.567,8, ,MP,3.2,Tanunda; SA
ADE,local,0,Preferred,1858,8,23,14,30,,UTC,0,139,34.567,8, ,MP,2.7,Tanunda; SA
ADE,local,1,Preferred,1859,6,12,8,30,,UTC,0,140.783,37.833,9, ,MP,3.9,Mt Gambier; SA
Leiba,local,1,Preferred,1859,11,21,18,50,,UTC,0,145.2,40.7,10,N,MP,5.4,Circular Head; Tas
ADE,local,1,Preferred,1862,12,14,20,55,,UTC,0,138.7,34.067,8, ,MP,4.2,Auburn; SA
ADE,local,1,Preferred,1866,8,24,12,45,,UTC,0,138.867,34.883,7, ,MP,4.1,Gumeracha; SA
ADE,local,1,Preferred,1866,12,2,20,20,,UTC,0,139.133,33.367,8, ,MP,3.3,Ketchowla; SA
KMcC,local,1,Preferred,1868,6,18,13,58,,UTC,0,151.6,32.8,10,N,MP,5.3,Maitland; NSW
ADE,local,2,Preferred,1868,10,28,3,45,,UTC,0,138.7,33.58,7, ,MP,4.3,Clare Valley; SA
ADE,local,0,Preferred,1868,10,28,19,44,,UTC,0,138.7,33.58,7, ,MP,3.5,Clare Valley; SA
ADE,local,0,Preferred,1868,11,1,7,40,,UTC,0,138.7,33.58,7, ,MP,2.7,Clare Valley; SA
Underwood,local,2,Preferred,1869,8,29,18,50,,AEST,10,147,37,10,N,MP,5,Eastern Highlands; Vic
Underwood,local,0,Probable,1869,8,30,10,35,,AEST,10,147,37,10,N,MP,4,Eastern Highlands; Vic
ADE,local,1,Preferred,1871,1,11,7,45,,UTC,0,138.833,33.783,10, ,MP,3.9,Burra; SA
ADE,local,1,Preferred,1871,1,12,11,55,,UTC,0,139,32.667,11, ,MP,3.4,Beautiful Valley; SA
Spennemann,local,1,Preferred,1871,6,8,4,10,,UTC,0,148.1,35.3,10,N,ML,5.3,Tumut; NSW
Spennemann,local,1,Preferred,1872,1,3,12,15,,UTC,0,148.1,35.5,10,N,ML,4.9,Tumut; NSW
ADE,local,1,Preferred,1872,1,30,13,40,,UTC,0,138.883,34.067,9, ,MP,4.8,Riverton; SA
ADE,local,1,Preferred,1872,6,8,9,40,,UTC,0,138.95,33.95,7, ,MP,4.1,S of Burra; SA
KMcC,local,1,Probable,1872,8,7,19,10,,AEST,10,144,37,,,M?,3,Maldon; Vic
BRS,local,1,Preferred,1872,8,12,12,0,,UTC,0,152,26.75,10,N,MP,3,Nanango; Qld
KMcC,local,1,Preferred,1872,10,18,8,53,,UTC,0,150,33.7,10,N,MP,5.3,Jenolan Caves; NSW
Gliddon,local,1,Preferred,1873,4,22,6,0,,UTC,0,145.25,38.5,10,G,M?,3.5,Phillip Island?; Vic
E.T.,local,1,Preferred,1873,12,15,4,0,,AWST,8,127.5,26.25,0,G,MP,6,E of Warburton; WA
BMR,local,1,Preferred,1875,9,16,20,0,,UTC,0,152.5,27.5,0, ,MP,3,Ipswich; Qld
BRS,local,1,Preferred,1875,11,11,10,50,,UTC,0,148.5,22,0, ,MP,4.3,Mackay; Qld
BRS,local,1,Preferred,1875,11,24,11,0,,UTC,0,152,28.1,10, ,MP,3.9,Warwick; Qld
