eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency,flag,mx_origML,mx_origType,mx_revML,pref_mw
184003310630,1840,3,31,06,30,0,138.6,-34.9,7.0,2.7,MP,ADE,0,2.7,MP,2.62,2.94
184101272155,1841,1,27,21,55,0,151.6,-32.8,10.0,4.9,MP,KMcC,0,4.9,MP,4.47,4.37
184104211500,1841,4,21,15,00,0,145.0,-38.0,,4.0,MP,GG,0,4.0,MP,3.71,3.75
184110300000,1841,10,30,00,00,0,145.0,-38.0,10.0,4.0,MP,GG,0,4.0,MP,3.71,3.75
184210271930,1842,10,27,19,30,0,151.6,-32.6,10.0,5.3,MP,KMcC,0,5.3,MP,4.81,4.67
184704280630,1847,4,28,06,30,0,144.8,-37.8,10.0,4.0,MP,Underwood,0,4.0,MP,3.71,3.75
184809130630,1848,9,13,06,30,0,138.6,-34.9,7.0,3.0,MP,ADE,0,3.0,MP,2.87,3.12
184809141830,1848,9,14,18,30,0,138.9,-33.7,10.0,3.6,MP,ADE,0,3.6,MP,3.38,3.49
184810120130,1848,10,12,01,30,0,144.8,-37.8,10.0,3.0,MP,Underwood,0,3.0,MP,2.87,3.12
184811010000,1848,11,1,00,00,0,142.5,-38.4,10.0,3.0,MP,Osburne,0,3.0,MP,2.87,3.12
185009240000,1850,9,24,00,00,0,149.0,-35.0,,4.0,MP,GG,0,4.0,MP,3.71,3.75
185205191030,1852,5,19,10,30,0,138.517,-35.15,7.0,2.7,MP,ADE,0,2.7,MP,2.62,2.94
185309151630,1853,9,15,16,30,0,138.11,-32.85,11.0,4.5,MP,ADE,0,4.5,MP,4.13,4.09
185502182200,1855,2,18,22,00,0,138.95,-34.35,7.0,3.8,MP,ADE,0,3.8,MP,3.55,3.62
185502231900,1855,2,23,19,00,0,138.95,-34.35,7.0,3.1,MP,ADE,1,3.1,MP,2.96,3.18
185509161712,1855,9,16,17,12,0,144.8,-38.7,10.0,5.5,MP,GG,0,5.5,MP,4.97,4.82
185606241650,1856,6,24,16,50,0,138.7,-34.65,7.0,4.4,MP,ADE,0,4.4,MP,4.05,4.02
185704271420,1857,4,27,14,20,0,138.18,-35.833,7.0,3.3,MP,ADE,0,3.3,MP,3.13,3.3
185808211245,1858,8,21,12,45,0,139.0,-34.567,8.0,3.7,MP,ADE,0,3.7,MP,3.46,3.56
