DATETIME,R35,R35STD,BJ84,BJ84STD,MLM92,MLM92STD,WGW96,WGW96STD,A16,A16STD
199610012142,3.13,0.28,3.13,0.34,2.98,0.26,3.09,0.39,3.06,0.22
199610301222,2.44,0.28,2.40,0.24,2.34,0.27,2.39,0.27,2.43,0.28
199612101254,2.86,0.32,2.91,0.30,2.85,0.29,2.87,0.35,2.92,0.26
199612101258,2.54,0.26,2.61,0.28,2.53,0.31,2.56,0.36,2.60,0.28
199612240844,2.06,0.27,2.14,nan,2.26,0.24,2.37,0.21,2.26,0.24
199612242228,3.14,0.23,3.15,0.21,3.12,0.22,3.29,0.21,3.10,0.21
199702032314,2.12,0.40,2.14,0.44,2.28,0.18,2.36,0.16,2.26,0.20
199705042233,3.03,0.29,2.99,0.28,2.96,0.15,3.04,0.18,3.05,0.17
199706270320,4.07,0.23,4.13,0.24,3.90,0.19,4.23,0.20,3.85,0.18
199708230013,3.26,0.21,3.33,0.22,3.10,0.13,3.44,0.15,3.05,0.14
199802141823,4.24,0.26,4.31,0.27,4.04,0.24,4.42,0.26,4.01,0.24
199803091241,3.43,0.16,3.50,0.17,3.28,0.18,3.64,0.13,3.23,0.16
199804040955,3.44,0.29,3.48,0.23,3.28,0.23,3.57,0.18,3.27,0.24
199807170122,4.47,0.23,4.53,0.20,4.22,0.22,4.62,0.26,4.21,0.24
199809190534,1.78,0.41,1.88,0.36,1.73,0.24,1.82,0.29,1.70,0.18
199809190548,2.20,0.34,2.27,0.31,2.12,0.22,2.22,0.25,2.12,0.20
199811072242,2.93,0.46,3.00,0.47,2.96,0.14,3.21,0.15,2.89,0.15
199901130940,3.73,0.35,3.77,0.31,3.61,0.14,3.88,0.24,3.60,0.14
199903140013,4.39,0.37,4.46,0.37,4.16,0.23,4.63,0.30,4.14,0.25
199903170158,4.53,0.59,4.67,0.73,4.45,0.29,4.84,0.48,4.45,0.26
199904161051,3.12,0.29,3.14,0.30,3.07,0.22,3.23,0.24,3.09,0.24
199904161108,2.74,0.27,2.74,0.29,2.62,0.21,2.79,0.29,2.65,0.19
199907130142,3.22,0.35,3.26,0.37,3.14,0.18,3.38,0.22,3.09,0.15
199908151320,2.15,0.14,2.11,0.14,2.11,0.17,2.16,0.20,2.22,0.15
199908191710,2.58,0.32,2.56,0.36,2.48,0.29,2.63,0.33,2.49,0.28
199909270929,2.59,0.35,2.63,0.35,2.54,0.21,2.72,0.22,2.49,0.22
199909290042,2.43,0.40,2.47,0.36,2.39,0.20,2.42,0.27,2.44,0.18
199910112024,2.23,0.28,2.21,0.30,2.13,0.19,2.24,0.23,2.18,0.19
199910180307,1.66,0.49,1.75,0.44,1.74,0.22,1.75,0.22,1.82,0.21
200003161326,3.60,0.28,3.65,0.28,3.62,0.21,3.90,0.28,3.61,0.17
200005151011,1.40,0.15,1.57,0.04,1.45,0.10,1.47,0.10,1.49,0.14
200006111840,2.66,0.28,2.65,0.29,2.53,0.25,2.66,0.28,2.58,0.26
200006221813,3.15,0.32,3.17,0.30,3.06,0.22,3.26,0.26,3.07,0.21
200007240747,2.87,0.25,2.86,0.24,2.88,0.17,3.04,0.19,2.91,0.21
