DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREG,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW,PREFMWSRC,COMM
1968-10-14 02:58:50,719085.1242,local,2,116.98,-31.62,10,BMR,6.58,Vogfjörd & Langston (1987),6.8,BMR,NaN,,6.9,AUST,WA,6.25,6.58,MW,6.58,MW,Vogfjörd & Langston (1987),6.83,NaN,6.02,6.58,Vogfjörd & Langston (1987),"Meckering; WA"
1979-06-02 09:47:59,722968.4083,local,2,117.104,-30.821,3,EHB,6.1,GCMT,6,AUST,6,AUST,6.2,AUST,WA,5.61,6.10,MW,6.10,MW,GCMT,6.05,6.03,5.40,6.10,GCMT,"6.5 km SSW of Cadoux; WA"
1981-11-15 16:58:11,723865.7071,local,2,150.847,-34.21,18.04,MEL,4.1,AUST,3.9,AUST,4.3,AUST,4.6,AUST,SEA,4.60,4.10,MW,4.10,MW,AUST,4.48,3.99,4.48,4.10,AUST,"Appin; NSW"
1986-03-30 08:53:53,725461.3708,local,2,132.734,-26.31,5,EHB,5.7,GCMT,5.8,EHB,5.8,AUST,6,AUST,WA,5.59,5.70,MW,5.70,MW,GCMT,5.87,5.79,5.38,5.70,GCMT,"Marryat Creek; SA"
1986-07-11 07:17:56,725564.3041,local,0,132.852,-26.207,0,MEL,5.3,GCMT,5.3,AUST,5.6,AUST,5.6,AUST,WA,5.26,5.30,MW,5.30,MW,GCMT,5.46,5.55,5.07,5.30,GCMT,"Marryat Creek; SA"
1988-01-22 00:35:59,726124.025,local,0,133.795,-19.866,5,EHB,6.27,Choy & Bowman (1990),6.2,AUST,6.1,AUST,6.3,AUST,WA,5.72,6.27,MW,6.27,MW,Choy & Bowman (1990),6.24,6.15,5.50,6.27,Choy & Bowman (1990),"Tennant Creek; NT"
1988-01-22 03:57:26,726124.1649,local,0,133.837,-19.875,3,EHB,6.44,Choy & Bowman (1990),6.3,AUST,6.1,AUST,6.4,AUST,WA,5.82,6.44,MW,6.44,MW,Choy & Bowman (1990),6.33,6.15,5.60,6.44,Choy & Bowman (1990),"Tennant Creek; NT"
1988-01-22 12:04:59,726124.5035,local,2,133.854,-19.896,5,EHB,6.58,Choy & Bowman (1990),6.5,AUST,6.5,AUST,6.7,AUST,WA,6.11,6.58,MW,6.58,MW,Choy & Bowman (1990),6.52,6.63,5.89,6.58,Choy & Bowman (1990),"45 km SW of Tennant Creek; NT"
1988-01-22 20:54:04,726124.8709,local,0,133.917,-19.92,3,EHB,5.3,GCMT,5.3,AUST,5.8,AUST,5.3,AUST,WA,4.71,5.30,MW,5.30,MW,GCMT,5.46,5.79,4.58,5.30,GCMT,"Tennant Creek; NT"
1989-12-27 23:26:57,726829.9771,local,2,151.61,-32.952,10.5,MEL,5.42,Allen (2012),4.6,AUST,5.7,AUST,5.63,Allen (unpublished),SEA,5.39,5.42,MW,5.42,MW,Allen (2012),4.93,5.67,5.19,5.42,Allen (2012),"Newcastle; NSW"
