SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Zone 1a,ZN1a,area,2.0,1.00,1.0000,5.0,2.5,10.0,0.0,20.0,999,4.50,3.00,7.30,7.10,7.50,11345.52,13640.68,9362.236,1.2434,1.2842,1.2026,-99.00,-99.00,1966;1957;1945;1885,2.95;4.05;4.55;5.65,2017.536,-999.0,-999.0,-999.0,99.75,15.00,Cratonic,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 1b,ZN1b,area,1.0,1.0,1.1859,5.0,2.5,10.0,0.0,20.0,999,4.5,3.3,7.3,7.1,7.5,2381.476,2942.680,1898.098,0.9790,1.0249,0.9332,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,28.175,31.242,Cratonic,Cratonic,1.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 2,ZN2,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,49315.56,62293.70,38970.41,1.2434,1.2842,1.2026,-99.0,-99.0,1966;1957;1945;1885,2.95;4.05;4.55;5.65,2017.536,-999,-999,-999,100.2,15.0,Non_cratonic,Non_cratonic,2.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 3a,ZN3a,area,2.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,10080.58,12065.16,8349.836,1.2434,1.2842,1.2026,-99.0,-99.0,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,138.94,15.0,Non_cratonic,Non_cratonic,2.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 3b,ZN3b,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,7353.789,9839.803,5477.233,0.9536,1.0020,0.9052,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,77.36,23.198,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 4,ZN4,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,98098.85,123847.9,77619.76,1.2383,1.2775,1.1990,-99.0,-99.0,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,74.72,30.098,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 5,ZN5,area,5.0,1.0,1.0001,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,8.0,7.8,8.2,8040.234,11299.35,5700.351,1.0830,1.1422,1.0237,-99.0,-99.0,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,134.77,15.0,Extended,Non_cratonic,5.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 6,ZN6,area,6.0,1.00,1.0000,10.0,5.0,15.0,0.0,20.0,999,4.50,3.20,7.70,7.50,7.90,21250.91,35438.25,12713.90,1.0471,1.1244,0.9698,-99.00,-99.00,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999.0,-999.0,-999.0,70.22,20.10,Extended,Non_cratonic,6,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 7a,ZN7a,area,7.0,1.0,1.0005,10.0,5.0,15.0,0.0,20.0,999,4.5,3.5,7.7,7.5,7.9,1072.280,1631.038,677.8269,0.9386,1.0188,0.8583,-99.0,-99.0,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,99.42,17.690,Extended,Non_cratonic,7.,NSHA18CAT_V0.1_hmtk_declustered.csv
Zone 7b,ZN7b,area,7.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.5,7.7,7.5,7.9,1042.366,1585.537,658.9175,0.9386,1.0188,0.8583,-99.0,-99.0,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,50.185,27.818,Extended,Non_cratonic,7.,NSHA18CAT_V0.1_hmtk_declustered.csv
