1926 07 16 0204 146.548 -6.246 35.0 6.34 MW 
1926 09 07 1223 145.522 -5.471 35.0 6.60 MW 
1928 08 28 0824 147.041 -6.634 15.0 5.79 MW 
1941 11 06 0706 147.439 -6.785 25.0 6.33 MW 
1930 06 23 1934 147.584 -6.451 35.0 6.08 MW 
1935 05 21 0651 146.097 -5.612 35.0 6.19 MW 
1935 06 16 0618 146.594 -5.401 25.0 5.65 MW 
1942 06 06 1453 146.228 -5.465 65.0 6.07 MW 
1954 08 05 2344 146.924 -6.023 25.0 6.18 MW 
1957 11 10 0549 146.907 -6.409 20.0 5.95 MW 
1959 04 05 2329 146.546 -5.426 25.0 5.80 MW 
1967 09 18 1533 146.600 -5.985 35.0 5.80 MW bibliog
1968 05 11 1533 147.107 -6.340 50.0 5.79 MW 
1969 06 24 0329 146.745 -5.894 100.0 5.55 MW 
1971 01 21 0617 147.605 -6.827 45.0 5.69 MW 
1971 02 12 1906 146.457 -6.369 128.4 5.79 MW 
1972 11 05 2008 146.669 -5.426 233.3 5.76 MW 
1973 04 15 0335 146.029 -6.119 118.2 5.55 MW 
1975 06 09 1952 147.456 -6.128 55.0 5.65 MW 
1976 02 06 1653 146.344 -5.980 35.0 5.99 MW gcmt
1976 05 21 0642 145.819 -5.921 115.3 6.01 MW 
1977 02 25 0118 147.626 -6.338 50.0 6.13 MW gcmt
1977 10 29 2015 146.600 -6.199 106.6 6.06 MW gcmt
1978 08 30 2028 147.103 -5.895 69.9 5.62 MW gcmt
1979 06 13 1053 147.293 -6.497 82.4 5.71 MW gcmt
1980 02 12 0459 146.515 -6.364 108.0 5.79 MW 
1983 10 08 2233 146.066 -5.450 61.3 5.78 MW gcmt
1983 11 29 2218 146.581 -6.198 31.2 5.74 MW gcmt
1986 10 23 0354 146.330 -6.089 124.5 5.99 MW gcmt
1989 03 17 1338 146.585 -5.809 46.5 5.86 MW gcmt
