1936 05 19 2050 123.814 -8.945 70.0 6.41 MW 
1938 10 20 0219 122.726 -8.996 66.0 7.16 MW 
1942 11 07 0732 122.999 -8.897 80.0 6.10 MW 
1961 03 16 1345 121.710 -8.453 45.0 6.49 MW 
1959 06 28 1943 122.504 -9.257 60.0 6.05 MW 
1971 03 28 1756 124.538 -9.583 40.0 5.79 MW 
1974 02 19 0123 124.014 -8.969 60.0 5.53 MW 
1975 07 04 2040 123.038 -8.290 175.9 5.56 MW 
1976 04 12 0553 124.028 -9.274 60.0 5.53 MW 
1982 11 14 1623 122.507 -9.393 53.4 5.60 MW gcmt
1988 02 05 0325 124.182 -9.124 60.0 5.68 MW gcmt
2009 01 28 0753 124.098 -8.969 55.0 5.67 MW gcmt
2011 06 27 1647 122.506 -8.997 130.0 5.58 MW gcmt
