SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
Albany-Fraser,ALF,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,693.5341,750.3707,613.1330,0.982,1.0251,0.9389,0.982,0.0431,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,88.605,15.0,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Amadeus Basin,AMD,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,645.9110,690.2770,575.6157,0.982,1.0251,0.9389,0.982,0.0431,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,44.4,15.0,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Arunta Block,ATB,area,3.0,1.0,1.0,5.0,2.5,10.0,0.0,20.0,999,4.5,3.2,7.5,7.3,7.7,1743.621,2065.001,1445.968,0.982,1.0251,0.9389,0.982,0.0431,1979;1970;1960;1958;1905;1880,3.05;3.95;4.55;4.95;6.05;6.45,2017.536,-999,-999,-999,34.08,20.820,Cratonic,Cratonic,3.,NSHA18CAT_V0.1_hmtk_declustered.csv
Ballan,BAL,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,177.3019,82.25110,313.8892,1.2222,1.2607,1.1837,1.2222,0.0385,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Ballarat,BRT,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,436.7474,342.2652,536.8706,1.2222,1.2607,1.1837,1.2222,0.0385,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bass Strait,BAS,area,5.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,1018.518,1259.455,800.7938,1.0778,1.1359,1.0197,1.0778,0.0581,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,134.99,15.0,Extended,Non_cratonic,5.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bathurst,BAT,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,3637.349,4042.616,3204.528,1.2222,1.2607,1.1837,1.2222,0.0385,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,74.72,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bendigo,BEN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,296.6035,201.2971,408.7468,1.2222,1.2607,1.1837,1.2222,0.0385,1966;1960;1957;1945;1885,2.85;3.45;4.05;4.55;5.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bowen,BOW,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,584.2989,278.3641,1007.275,1.2222,1.2607,1.1837,1.2222,0.0385,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,45.77,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
Bunnaloo,BUN,area,4.0,1.0,1.0,10.0,5.0,15.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,2179.982,2241.150,2028.288,1.2222,1.2607,1.1837,1.2222,0.0385,1975;1965;1900;1880,2.95;4.45;6.05;6.45,2017.536,-999,-999,-999,130.38,15.0,Non_cratonic,Non_cratonic,4.,NSHA18CAT_V0.1_hmtk_declustered.csv
