DATETIME,MMI_MW,MX_ORIG,MX_REVML,PREF_MW,AUTH
184101272155,nan,4.9,4.57,4.22,KMcC
184210271930,nan,5.3,4.95,4.61,KMcC
185911211850,5.80,5.4,5.04,4.71,Leiba
186808291850,nan,5.0,4.67,4.32,RobUnd
187511241100,nan,3.9,3.64,3.55,BRS
188002030630,nan,5.5,5.13,4.81,Leiba
188008101900,nan,3.6,3.37,3.36,BRS
188307071358,3.90,4.7,4.39,4.06,ADE
188308281655,nan,5.9,5.51,5.2,BRS
188308281820,nan,5.2,4.85,4.51,BRS
188407130355,nan,6.4,5.97,5.69,Leiba
188501210110,4.20,4.6,4.3,4.0,BMR
188505122337,nan,6.8,6.34,6.09,Leiba
188609281845,nan,4.5,4.2,3.94,KMcC
188611291700,nan,5.5,5.13,4.81,BMR
188704161310,nan,4.4,4.11,3.87,ADE
188704162210,nan,5.7,5.32,5.0,ADE
188807052015,nan,5.3,4.95,4.61,KMcC
188902120645,nan,4.6,4.3,4.0,ADE
189201261648,nan,6.9,6.44,6.18,Leiba
189308130210,nan,3.6,3.37,3.36,Malpas
189602271058,nan,4.2,3.92,3.74,BRS
189608231130,nan,4.2,3.92,3.74,ADE
189705100526,6.70,6.6,6.16,5.89,KMcC
189804102110,nan,4.9,4.57,4.22,ADE
189905020330,nan,5.3,4.95,4.61,ADE
189911230716,nan,3.5,3.27,3.3,GG
190205070510,nan,4.8,4.48,4.13,ADE
190205131850,nan,3.5,3.27,3.3,ADE
190206052235,nan,3.1,2.9,3.04,ADE
190209182100,nan,4.4,4.11,3.87,ADE
190209191035,nan,6.0,5.6,5.72,ADE
190209200925,nan,4.4,4.11,3.87,AUST
190209200937,nan,4.8,4.48,4.13,AUST
190209210410,nan,3.9,3.64,3.55,ADE
190304062352,nan,5.3,4.95,4.61,KMcC
190307141029,5.10,5.6,5.23,4.91,KMcC
190508211835,nan,4.6,4.3,4.0,ADE
190611190718,nan,7.8,7.8,7.91,ISC
190611190718,nan,7.8,7.8,7.91,ISC
190804091625,nan,4.7,4.28,3.99,ADE
190805040950,nan,5.0,4.5,4.67,Leiba
191110241200,nan,4.8,4.35,4.04,ADE
191110261000,nan,5.5,5.07,4.74,ADE
191111040127,nan,4.8,4.21,4.46,Leiba
191312181354,nan,5.5,5.13,5.2,BRS
191405281321,nan,3.9,4.08,3.85,ADE
191606101751,nan,5.0,4.98,4.65,KMcC
191806061814,nan,6.0,5.11,6.02,BRS
191806061814,nan,5.1,4.21,3.94,BRS
191806061823,nan,5.5,4.61,4.25,BRS
191806061920,nan,5.7,4.81,5.41,BRS
191908151021,nan,4.6,4.53,4.25,BurkeG
192104231900,nan,5.1,5.05,4.72,ADE
192403011155,nan,5.1,4.61,4.77,Leiba
192512181047,nan,5.3,5.32,5.0,BurkeG
193411182158,nan,5.6,5.49,5.3,KMcC
193504120132,nan,5.2,4.35,4.88,BRS
193806272238,4.50,3.9,3.35,3.35,GG
193903260356,nan,5.2,4.76,4.88,ADE
194104290135,6.90,6.8,6.8,6.81,EHB
194204100300,nan,3.8,2.96,3.66,BRS
194609141948,nan,5.6,5.6,5.88,Muirhead
194706111003,4.00,4.1,3.99,3.87,BRS
194808060329,nan,5.6,5.46,5.3,ADE
194903102230,nan,5.5,5.38,5.2,BMR
195006190900,nan,3.2,2.35,2.67,BMR
195203110609,nan,5.1,5.08,4.77,BMR
195211190159,nan,4.9,4.78,4.56,Joklik
195312031542,nan,3.7,3.31,3.59,BRS
195312031558,nan,2.3,1.87,2.63,BRS
195403022015,nan,3.2,3.63,3.25,ADE
195405040705,nan,3.1,2.26,2.6,Jones
195409191037,5.00,5.3,4.77,4.98,BRS
195508301352,nan,5.8,5.73,5.51,MGO
195801010007,nan,5.3,4.75,4.98,TAU
195812011038,nan,3.0,2.19,3.11,BRS
195903021222,nan,2.6,2.25,2.6,ADE
195909090417,4.10,4.3,4.18,4.0,ADE
195910122123,nan,4.5,4.11,4.14,BRS
195911020117,nan,4.9,4.64,4.56,ADE
196008302123,nan,4.3,4.13,4.0,ADE
196011170500,nan,4.5,4.86,4.14,BRS
196205162141,4.40,4.6,4.61,4.25,ADE
196303280429,nan,3.0,2.93,3.11,BRS
196311031200,nan,4.4,4.42,4.07,TAU
196311040117,nan,nan,nan,nan,ISC
196311040117,nan,nan,nan,nan,ISC
196501252022,5.40,4.6,4.32,4.25,ADE
196506032159,nan,5.3,5.11,4.98,BMR
196707180748,nan,3.8,3.61,3.66,BRS
196810140258,6.40,6.58,6.58,6.58,BMR
196906171954,nan,5.6,4.72,5.3,BMR
196906201115,4.70,5.3,5.32,4.98,BMR
197003101715,4.90,5.9,5.92,5.62,EHB
197101062354,4.60,4.3,4.3,4.0,ADE
197105261158,nan,3.0,2.85,3.11,TAU
197106152006,nan,4.0,4.01,3.8,TAU
197107062155,4.70,5.0,4.97,4.67,MEL
197111032005,3.30,4.2,4.19,3.93,BMR
197203041625,nan,3.0,2.98,3.11,TAU
197204182220,4.80,5.4,5.4,5.09,ADE
197210171240,3.80,3.4,3.4,3.39,ADE
197303091909,5.80,5.5,5.51,5.2,MEL
197306031108,nan,4.0,3.97,3.8,BMR
197307291358,5.30,4.1,3.74,3.87,BRS
197405220923,nan,2.3,2.3,2.63,TAU
197407091046,nan,4.3,4.3,4.0,MGO
197409042317,nan,4.5,4.44,4.14,MGO
197410290314,nan,6.3,6.3,6.9,ISC
197410290314,nan,6.3,6.3,6.9,ISC
197411190930,nan,4.0,4.02,3.8,MGO
197503062351,nan,5.2,5.2,4.88,ISC
197507141802,4.20,3.4,3.4,3.39,ADE
197507242223,5.60,5.0,5.0,4.65,MGO
197602271144,2.90,3.0,3.0,3.11,ADE
197602271144,2.90,3.4,2.99,3.39,BMR
197607021441,nan,2.8,2.76,2.97,TAU
197607090827,nan,1.4,1.25,2.02,MEL
197608231914,4.10,3.8,3.74,3.66,BMR
197610290604,nan,4.7,4.7,4.35,MGO
197703050604,4.90,4.5,4.33,4.14,ISC
197705151916,nan,4.5,4.03,4.14,MGO
197706301248,4.00,4.5,4.46,4.14,BMR
197708190608,nan,8.3,8.3,8.3,EHB
197708202155,3.00,3.1,3.1,3.18,ADE
197709222055,3.70,3.1,3.08,3.18,MEL
