  Adelaide,  257712.0,   86634.0,  766623.0
    Albany,    4512.0,    1242.0,   16398.0
    Albury,  814952.0,  340707.0, 1949322.0
Alice_Springs,    1421.0,     337.0,    5988.0
  Ballarat,  849342.0,  250795.0, 2876381.0
   Ballidu,    1091.0,     286.0,    4159.0
  Bathurst,    1001.0,     330.0,    3036.0
   Bendigo,   17095.0,    7840.0,   37278.0
  Brisbane,   13263.0,    7541.0,   23328.0
Broken_Hill,    3738.0,     610.0,   22916.0
    Broome,     586.0,     318.0,    1081.0
 Bundaberg,    3194.0,    1756.0,    5812.0
    Burnie,     702.0,     418.0,    1180.0
    Cairns,    3884.0,    1663.0,    9072.0
    Camden,    3808.0,     804.0,   18039.0
  Canberra,  265091.0,   25248.0, 2783369.0
 Carnarvon,     624.0,     366.0,    1061.0
Coffs_Harbour,    3185.0,    1044.0,    9716.0
     Cooma,  444600.0,   82877.0, 2385107.0
   Dampier,    5552.0,     899.0,   34298.0
    Darwin,    3720.0,    1445.0,    9578.0
     Derby,     298.0,     162.0,     547.0
   Dowerin,    1091.0,     286.0,    4159.0
     Dubbo,    8241.0,    1099.0,   61785.0
 Esperance,    1120.0,     350.0,    3585.0
   Geelong,  312447.0,   52224.0, 1869300.0
 Geraldton,    1881.0,     699.0,    5062.0
 Gladstone,    4791.0,    1278.0,   17964.0
Gold_Coast,    5777.0,    1682.0,   19842.0
Goomalling,    1091.0,     286.0,    4159.0
   Gosford,   18067.0,    5774.0,   56533.0
  Goulburn,    9032.0,     951.0,   85739.0
   Grafton,    2675.0,     807.0,    8860.0
    Hobart,    2027.0,    1041.0,    3948.0
Kalgoorlie,     845.0,     321.0,    2222.0
  Karratha,     477.0,      94.0,    2429.0
  Katoomba,    2571.0,     608.0,   10872.0
Kellerberrin,     137.0,      36.0,     524.0
Launceston,    3667.0,    1130.0,   11898.0
   Lismore,    2814.0,     887.0,    8920.0
     Lorne,   11289.0,    5932.0,   21484.0
    Mackay,    6764.0,    2953.0,   15496.0
  Maitland,    3496.0,     617.0,   19795.0
Marble_Bar,     289.0,     163.0,     515.0
 Meckering,     137.0,      36.0,     524.0
 Melbourne,   41103.0,   21922.0,   77066.0
 Mittagong,    1102.0,     261.0,    4650.0
   Morwell,   54820.0,    4404.0,  682445.0
Mount_Gambier,     742.0,     225.0,    2446.0
 Newcastle,    6229.0,     504.0,   77051.0
     Noosa,   11806.0,    5127.0,   27185.0
   Northam,    2807.0,     738.0,   10673.0
Olympic_Dam,    2144.0,     715.0,    6425.0
    Onslow,    1159.0,     479.0,    2801.0
    Orange,    6202.0,    1106.0,   34769.0
   Penrith,    4736.0,    1260.0,   17798.0
     Perth,   10431.0,    1947.0,   55885.0
Port_Augusta,  134004.0,   31802.0,  564650.0
Port_Hedland,     289.0,     163.0,     515.0
Port_Lincoln,    2609.0,     579.0,   11748.0
Port_Macquarie,    4403.0,     556.0,   34892.0
Port_Pirie,  134004.0,   31802.0,  564650.0
      Robe,    1638.0,     210.0,   12756.0
Rockhampton,    2194.0,     951.0,    5061.0
Shepparton,    6577.0,    2361.0,   18321.0
    Sydney,    4736.0,    1260.0,   17798.0
  Tamworth,    2614.0,    1227.0,    5565.0
     Taree,    3241.0,     420.0,   24994.0
Tennant_Creek,    2534.0,    1145.0,    5609.0
 Toowoomba,   29899.0,   11496.0,   77759.0
Townsville,    5763.0,    2046.0,   16236.0
Tweed_Heads,    5777.0,    1682.0,   19842.0
     Uluru,    5039.0,    1167.0,   21752.0
Wagga_Wagga,    4625.0,    2011.0,   10637.0
Wangaratta,  753895.0,  286755.0, 1982034.0
Warrnambool,  109902.0,   21283.0,  567505.0
   Whyalla,  359394.0,   59176.0, 2182702.0
  Wickepin,   24140.0,    6540.0,   89108.0
  Wivenhoe,    7541.0,    4262.0,   13342.0
Wollongong,    8330.0,    2189.0,   31702.0
Wongan_Hills,     137.0,      36.0,     524.0
   Woomera,    2283.0,    1073.0,    4858.0
   Wyndham,    3627.0,     498.0,   26396.0
      York,    7501.0,    2092.0,   26897.0
    Yulara,    1576.0,     361.0,    6872.0
   Bunbury,    5170.0,    1421.0,   18809.0
    Gawler,  228026.0,   28032.0, 1854896.0
    Hawker,     446.0,     103.0,    1936.0
     Kimba,    1561.0,     166.0,   14659.0
  Pakenham,    4214.0,    1619.0,   10967.0
 Frankston, 1062101.0,  458087.0, 2462544.0
 Leongatha,   70902.0,    9433.0,  532944.0
      Sale,  185344.0,   93964.0,  365589.0
  Warragul,    2150.0,     821.0,    5629.0
   Exmouth,  257413.0,   72511.0,  913819.0
    Denham,    2982.0,    1587.0,    5604.0
    Newman,    1779.0,     283.0,   11175.0
 Kununurra,    2927.0,     351.0,   24411.0
 Busselton,    2143.0,     599.0,    7667.0
Margaret_River,   11332.0,    2782.0,   46156.0
Coolgardie,     845.0,     321.0,    2222.0
Quairading,    1091.0,     286.0,    4159.0
 Jamestown,    3514.0,     907.0,   13615.0
Peterborough,    1977.0,     509.0,    7686.0
Leigh_Creek,    2052.0,     556.0,    7580.0
  Heyfield,   66980.0,   34262.0,  130942.0
