1906 06 01 0430 138.560 -2.495 35.0 7.84 MW 
1926 10 26 0344 139.199 -2.903 35.0 7.55 MW 
1971 01 10 0717 139.722 -3.184 30.0 7.70 MW bibliog
1976 05 09 0514 138.946 -2.868 25.0 5.71 MW 
1978 04 25 0734 138.898 -2.844 49.1 5.87 MW gcmt
1979 06 24 0423 139.884 -2.835 20.0 5.81 MW gcmt
1980 08 19 2101 140.038 -3.543 58.6 6.13 MW gcmt
1981 03 30 1704 138.864 -2.137 15.0 5.85 MW gcmt
1983 01 25 0608 140.128 -3.615 30.0 5.93 MW gcmt
1986 04 20 0703 139.336 -2.387 25.0 6.74 MW gcmt
1987 10 25 1654 138.365 -2.270 20.0 6.79 MW gcmt
1990 11 01 0339 139.273 -3.508 40.6 5.72 MW gcmt
1994 12 15 2356 139.820 -3.247 115.0 5.81 MW gcmt
1995 12 19 2328 140.155 -3.698 67.7 6.45 MW gcmt
1998 07 29 1800 138.928 -2.661 35.0 6.66 MW gcmt
1999 05 16 1525 138.186 -2.601 50.0 6.33 MW gcmt
2002 10 17 1752 140.185 -3.630 30.0 6.29 MW gcmt
2006 05 30 0328 140.069 -3.751 27.6 5.94 MW gcmt
2007 01 17 0428 139.844 -3.265 115.0 5.99 MW gcmt
2007 06 16 2152 138.735 -3.160 35.0 5.73 MW gcmt
2007 12 22 0711 139.114 -2.458 20.0 6.21 MW gcmt
2009 10 15 1211 139.524 -3.107 110.5 6.02 MW gcmt
