SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,YMAX,TRT,DOMAIN,CAT_FILE
Non Cratonic Background Zone - Main,NCBM,area,1.00,10.0,5.0,15.0,4.50,4.00,7.50,7.30,7.70,86911.91,761964.8,9765.461,1.208254,1.061997,1.354510,-99.00,-99.00,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,GGcat-161025.csv
Non Cratonic Background Zone - Tasmania,NCBT,area,1.00,10.0,5.0,15.0,4.50,4.00,7.50,7.30,7.70,4889.413,24070.52,928.8962,1.208254,1.061997,1.354510,-99.00,-99.00,1990;1980;1965,3.0;3.5;4.0,2016,Non_cratonic,4.,GGcat-161025.csv
Cratonic Background Zone,CBGZ,area,1.00,5.0,2.5,10.0,4.50,4.00,7.50,7.30,7.70,5466.242,15483.59,1913.690,0.819483,0.747228,0.891739,-99.00,-99.00,1985;1965;1940,3.5;4.2;6.4,2016,Cratonic,3.,GGcat-161025.csv
Extended Background Zone,EBGZ,area,1.00,5.0,2.5,10.0,4.50,4.00,7.70,7.50,7.90,3320.844,15481.81,695.3599,0.835197,0.726708,0.943686,-99.00,-99.00,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2016,Cratonic,7,GGcat-161025.csv
