1936 02 08 1211 145.610 -5.106 64.0 6.21 MW 
1942 06 06 1453 146.228 -5.465 65.0 6.07 MW 
1965 03 04 0148 146.993 -5.487 200.0 5.70 MW 
1967 11 14 0528 147.112 -5.460 210.0 5.93 MW 
1971 02 12 1906 146.457 -6.369 128.4 5.79 MW 
1971 07 19 1448 144.508 -4.890 69.5 5.93 MW 
1972 09 19 1508 148.155 -5.793 195.1 5.85 MW 
1972 11 04 0947 144.548 -4.867 82.5 5.75 MW 
1972 11 05 2008 146.669 -5.426 233.3 5.76 MW 
1973 08 13 0828 143.961 -4.524 105.0 6.02 MW 
1974 09 20 2120 146.060 -6.245 116.0 5.89 MW 
