Order #,Zone Full Name,Name,,State,Area,Mmin,Mmax,N5 (Activity Rate),Beta,Last Revised,EQcat,Status
41,Halls Creek ZEN M5-7.3,Halls Creek,HLC,WA/NT,98704.87,5,7.3,0.03121,1.865100026,2006-01,2005-06,Re-do
42,Hamersley ZEN M5-7.3,Hamersley,HAM,WA,315673.88,5,7.3,0.01265,2.072299957,2014-12,2014-07,OK
43,Heathcote ZEN M5-6.8,Heathcote,HEA,Vic,6443.81,5,6.8,0.0101,1.773000002,2015-08,2015-05,OK
44,Hodgkinson ZEN M5-7.3,Hodgkinson Foldbelt,HKF,QLD,86907.91,5,7.3,0.01444,2.026299953,2013-11,2013-10,OK
45,Hume ZEN M5-6.8,Hume,HUM,Vic/NSW,16971.8,5,6.8,0.002,2.302599907,2011-10,2011-11,OK
46,Illawarra ZEN M5-7.3,Illawarra,IWA,NSW,4851.19,5,7.3,0.001092,1.934200048,2013-10,2013-04,OK
47,Kangaroo Island ZEN M5-7.3,Kangaroo Island,KGI,SA,11733.26,5,7.3,0.005023,1.657899976,2009-03,2009-03,Re-do
48,Mt Lofty Ranges ZEN M5-6.4,Mt Lofty Ranges,MLR,SA,15119.44,5,6.4,0.008012,1.934200048,2013-01,2013-01,OK
49,Kimberley ZEN M5-7.3,Kimberley,KIM,WA,180960.06,5,7.3,0.08071,1.865100026,2008-10,2006-06,Re-do
50,Korumba Basin ZEN M5-7.3,Korumba Basin,KBB,QLD,86457.95,5,7.3,0.02062,1.842100024,2006-MM,2000-03,Re-do
51,Laura Basin ZEN M5-7.3,Laura Basin,LRB,QLD,48854.97,5,7.3,0.005725,1.95720005,2006-MM,2000-03,Re-do
52,Leigh Creek ZEN M5-7.3,Leigh Creek,LEC,SA,12016.4,5,7.3,0.0108,2.210500002,2008-10,2007-12,Re-do
53,Mackay ZEN M5-7.3,Mackay,MAC,QLD,279179.23,5,7.3,0.02846,1.611799955,2013-11,2013-10,OK
54,Mallacoota ZEN M5-7.3,Mallacoota,MAL,Vic/NSW,32954.85,5,7.3,0.01248,1.796000004,2005-MM,2000-03,Re-do
55,Gladstone ZEN M5-7.3,Gladstone,GLD,QLD,57273.22,5,7.3,0.01758,1.6579,2015-05,2015-02,OK
56,McArthur ZEN M5-7.3,McArthur,MCA,NT,381393.28,5,7.3,0.009736,2.136800051,2008-11,2006-06,Re-do
57,Merimbula ZEN M5-6.8,Merimbula,MIM,NSW,30434.57,5,6.8,0.003815,2.256500006,2014-02,2014-02,OK
58,Merredin ZEN M5-7.3,Merredin,MER,WA,47323.06,5,7.3,0.0993,1.773000002,2012-03,2011-12,OK
59,Mornington ZEN M5-6.4,Mornington,MTN,Vic,3837.3,5,6.4,0.004163,1.796000004,2013-10,2013-10,Re-do
60,Mt Isa ZEN M5-6.8,Mt Isa,MIS,QLD,138676.47,5,6.8,0.01248,1.842100024,2008-04,,Re-do
61,Murray Darling ZEN M5-7.3,Murray Darling,MDG,Vic/NSW,94318.65,5,7.3,0.004765,1.796000004,2005-MM,2004-12,Re-do
62,Murray Shelf ZEN M5-7.3,Murray Shelf,MYS,Vic,73434.34,5,7.3,0.01443,1.796000004,2008-MM,2000-03,Re-do
63,Musgrave Block ZEN M5-7.3,Musgrave Block,MUS,NT/SA,141696.15,5,7.3,0.04334,1.888100028,2014-12,2014-07,OK
64,Naturaliste Plateau ZEN M5-7.3,Naturaliste Plateau,NLP,WA,85959.37,5,7.3,0.02119,1.773000002,2014-12,2007-11,OK
65,Newcastle ZEN M5-7.3,Newcastle,NEW,NSW,3476.03,5,7.3,0.008893,1.726899982,2013-10,2013-07,OK
66,North Sydney Basin ZEN M5-6.8,North Sydney Basin,NSB,NSW,14773.07,5,6.8,0.00125,2.302599907,2013-07,2013-10,OK
67,North West Shelf ZEN M5-7.3,North West Shelf,NWS,WA,165495.7,5,7.3,0.1403,1.782199979,2008-10,2008-08,Re-do
68,Officer Basin ZEN M5-7.3,Officer Basin,OFB,WA/SA,337628.23,5,7.3,0.0498,1.726899982,2014-12,2014-07,OK
69,Ord ZEN M5-7.3,Ord,ORD,WA/NT,120094.35,5,7.3,0.0464,1.842100024,missing,missing,No EQs
70,Otway Basin East ZEN M5-7.3,Otway Basin East,OBE,Vic/Tas,5651.34,5,7.3,0.0004747,1.634799957,2015-08,2015-05,OK
71,Otway Basin West ZEN M5-7.3,Otway Basin West,OBW,Vic/Tas,38785.09,5,7.3,0.01326,1.70389998,2008-MM,2000-03,Re-do
72,Otway Ranges ZEN M5-6.8,Otway Ranges,OTR,Vic,7933.86,5,6.8,0.002944,1.901900053,2015-08,2015-05,OK
73,Otway Shelf ZEN M5-7.3,Otway Shelf,OTS,VIC,73852.83,5,7.3,0.005549,1.865100026,2012-07,2012-08,Re-do
74,Outer North West Shelf ZEN M5-7.3,Outer North West Shelf,ONS,WA,384746.03,5,7.3,0.08004,1.726899982,2008-10,2008-04,Re-do
75,Ovens Valley Graben ZEN M5-6.8,Ovens Valley Graben,OVG,Vic,3602.5,5,6.8,0.0005507,1.796000004,2009-MM,2000-03,Re-do
76,Perth Basin ZEN M5-7.3,Perth Basin,PTB,WA,142335.06,5,7.3,0.01739,1.611799955,2014-12,2014-10,OK
77,Pilbara ZEN M5-7.3,Pilbara,PIL,WA,126649.42,5,7.3,0.08004,1.726899982,2008-10,2006-04,OK
78,Pine Creek ZEN M5-7.3,Pine Creek,PNC,NT,160743.15,5,7.3,0.01897,1.611799955,2015-08,2011-04,OK
79,Port Phillip ZEN M5-6.8,Port Phillip,PPL,Vic,11548.24,5,6.8,0.00578,1.657899976,2015-08,2015-05,OK
80,Renmark ZEN M5-7.3,Renmark,REN,SA/VIC,67327.23,5,7.3,0.003158,2.026299953,missing,missing,
81,Richmond ZEN M5-7.3,Richmond,RMD,QLD,58206.28,5,7.3,0.0128,1.842100024,2006-MM,1996-01,Re-do
82,Shark Bay ZEN M5-7.3,Shark Bay,SKB,WA,301496.77,5,7.3,0.06574,2.233500004,2008-10,2008-06,Re-do
83,Southern New England ZEN M5-6.8,Southern New England,SNE,NSW,58376.94,5,6.8,0.003678,1.657899976,2011-04,2010-12,OK
84,Stawell ZEN M5-6.8,Stawell,SWL,Vic,14144.54,5,6.8,0.001125,1.899600029,2013-10,2013-10,Re-do
85,Strzelecki Ranges ZEN M5-6.4,Strzelecki Ranges,SZR,Vic,3729.58,5,6.4,0.01577,1.784500003,2013-10,2013-10,Re-do
86,Surat Basin ZEN M5-7.3,Surat,SRT,QLD/NSW,228853.3,5,7.3,0.0101,1.773000002,2008-01,2008-01,Re-do
87,Sydney Coast ZEN M5-7.3,Sydney Coast,SYC,NSW,25664.16,5,7.3,0.004071,2.1875,2013-10,2013-07,OK
88,Tabberabbera ZEN M5-7.3,Tabberabbera,TAB,Vic,4270.25,5,7.3,0.001205,1.95720005,2008-08,2000-03,Re-do
