MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.55,5.1167e-01,5.8282e-03
3.65,4.1220e-01,4.6952e-03
3.75,3.3207e-01,3.7825e-03
3.85,2.6752e-01,3.0472e-03
3.95,2.1551e-01,2.4548e-03
4.05,1.7361e-01,1.9775e-03
4.15,1.3985e-01,1.5930e-03
4.25,1.1266e-01,1.2832e-03
4.35,9.0749e-02,1.0337e-03
4.45,7.3098e-02,8.3262e-04
4.55,5.8877e-02,6.7065e-04
4.65,4.7421e-02,5.4015e-04
4.75,3.8191e-02,4.3502e-04
4.85,3.0756e-02,3.5032e-04
4.95,2.4765e-02,2.8209e-04
5.05,1.9939e-02,2.2712e-04
5.15,1.6051e-02,1.8283e-04
5.25,1.2919e-02,1.4715e-04
5.35,1.0395e-02,1.1840e-04
5.45,8.3619e-03,9.5247e-05
5.55,6.7240e-03,7.6590e-05
5.65,5.4044e-03,6.1560e-05
5.75,4.3414e-03,4.9450e-05
5.85,3.4849e-03,3.9695e-05
5.95,2.7949e-03,3.1835e-05
6.05,2.2390e-03,2.5503e-05
6.15,1.7912e-03,2.0402e-05
6.25,1.4304e-03,1.6293e-05
6.35,1.1397e-03,1.2982e-05
6.45,9.0552e-04,1.0314e-05
6.55,7.1686e-04,8.1654e-06
6.65,5.6487e-04,6.4341e-06
6.75,4.4242e-04,5.0394e-06
6.85,3.4377e-04,3.9157e-06
6.95,2.6429e-04,3.0104e-06
7.05,2.0026e-04,2.2811e-06
7.15,1.4868e-04,1.6935e-06
7.25,1.0712e-04,1.2202e-06
7.35,7.3643e-05,8.3883e-07
7.45,4.6670e-05,5.3159e-07
7.55,2.4939e-05,2.8407e-07
7.65,7.4327e-06,8.4662e-08
