"Mw","exceedance_rate"
6,0.46055705453254
6.1,0.363382543088881
6.2,0.286752114817594
6.3,0.22625950115159
6.4,0.178455405442497
6.5,0.140637398419561
6.6,0.110686375206445
6.7,0.086939172060627
6.8,0.0680892809150172
6.9,0.053109410187435
7,0.0411910416388977
7.1,0.0316972182375202
7.2,0.0241256387416512
7.3,0.0180797864242238
7.4,0.0132814212752285
7.5,0.00969789909980046
7.6,0.00699375312568162
7.7,0.00502667993644793
7.8,0.00355789304213614
7.9,0.00247136879741495
8,0.00166901997844718
8.1,0.00105096586074258
8.2,0.000639394125333426
8.3,0.000357192025758375
8.4,0.000171591108952531
8.5,4.15903431882773e-05
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
