"Mw","exceedance_rate"
6,0.32586408072523
6.1,0.247160439406645
6.2,0.187534958280605
6.3,0.142314433560118
6.4,0.107981383593317
6.5,0.0818857265037256
6.6,0.0620289561928358
6.7,0.046902457119005
6.8,0.0353662774292373
6.9,0.0265581597997543
7,0.0198252187492762
7.1,0.014672581255725
7.2,0.0107247440687987
7.3,0.00769647217364421
7.4,0.00534061311129535
7.5,0.00364390390162854
7.6,0.00246960775808923
7.7,0.00165658572784273
7.8,0.00109571467954515
7.9,0.000711455008223137
8,0.000450871256923907
8.1,0.000276625703361538
8.2,0.000162309225365497
8.3,8.9252193403495e-05
8.4,4.42890891648477e-05
8.5,1.81808582128751e-05
8.6,4.48909101966306e-06
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
