"Mw","exceedance_rate"
6,0.937938582176634
6.1,0.755648528303201
6.2,0.609456951226007
6.3,0.49207150737412
6.4,0.397700433619715
6.5,0.321738545973186
6.6,0.260519936199209
6.7,0.211123010111471
6.8,0.171216637384329
6.9,0.138938621195944
7,0.11279959946299
7.1,0.0916069763016412
7.2,0.0744046446787923
7.3,0.0604251705306793
7.4,0.0490518205550499
7.5,0.0397883737196557
7.6,0.0322350939856474
7.7,0.0260695850861247
7.8,0.0210315179077814
7.9,0.0169104330759703
8,0.0135359882161306
8.1,0.0107701508044468
8.2,0.00850094114896391
8.3,0.00652913079948164
8.4,0.00492417611029014
8.5,0.00364556973976635
8.6,0.00263500131928203
8.7,0.0018441321216645
8.8,0.00123302901545597
8.9,0.000769076574853956
9,0.000426155960062395
9.1,0.000152439234249782
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
