"Mw","exceedance_rate"
6,6.77337615730412
6.1,5.36808070542398
6.2,4.25766593894899
6.3,3.37941042384614
6.4,2.68409521350626
6.5,2.13306604708307
6.6,1.69594073063462
6.7,1.34881884518835
6.8,1.07288278497366
6.9,0.853303838075034
7,0.678386194304772
7.1,0.538896648866331
7.2,0.427539330453203
7.3,0.338543765574115
7.4,0.267341575189288
7.5,0.210312532858604
7.6,0.164584942371797
7.7,0.127878586075323
7.8,0.0983810612807051
7.9,0.0746503229447121
8,0.0555378117622569
8.1,0.0401277653671059
8.2,0.0278808508222993
8.3,0.0193720766748268
8.4,0.0133175978316677
8.5,0.0090960263082973
8.6,0.00608649809091753
8.7,0.00386392388829829
8.8,0.00238102311636865
8.9,0.00137678874620053
9,0.000729055111103186
9.1,0.000318689240339985
9.2,0.000116280564689053
9.3,2.30048513584267e-05
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
