"Mw","exceedance_rate"
6,0.0461933622275836
6.1,0.0351931738396863
6.2,0.0268242681797878
6.3,0.0204502253497152
6.4,0.0155901463928008
6.5,0.011880287068298
6.6,0.00904523869764742
6.7,0.00687626161811739
6.8,0.00521498161569077
6.9,0.00394111078103298
7,0.00296319085734947
7.1,0.0022116085384236
7.2,0.00163332004453718
7.3,0.00118786280551898
7.4,0.000812542661223095
7.5,0.000561817935923501
7.6,0.00038718613588183
7.7,0.000265705263290857
7.8,0.000181354048316257
7.9,0.000122933762136884
8,8.26009369253969e-05
8.1,5.48614439154017e-05
8.2,3.4938528000875e-05
8.3,2.2242658647351e-05
8.4,1.33845124825438e-05
8.5,8.03307379185008e-06
8.6,4.39378698454442e-06
8.7,2.19400051384805e-06
8.8,1.03880616308275e-06
8.9,3.26813332947745e-07
9,5.69002380542783e-08
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
