"Mw","exceedance_rate"
6,0.396125207077372
6.1,0.314513646998245
6.2,0.24995651276927
6.3,0.198833653590268
6.4,0.158304028207291
6.5,0.126136006086411
6.6,0.100575016448931
6.7,0.0802402516277616
6.8,0.0640439871526638
6.9,0.0511285188142425
7,0.0408168314289876
7.1,0.0325739782921613
7.2,0.0259768208850768
7.3,0.0206902989833595
7.4,0.0164488056701777
7.5,0.013041556020216
7.6,0.0103010826046911
7.7,0.0080941811279623
7.8,0.00631477756626071
7.9,0.00487830353391911
8,0.0037172565361825
8.1,0.00271000984542708
8.2,0.00189788120055359
8.3,0.00128536693990534
8.4,0.00083079638526166
8.5,0.000501279177523483
8.6,0.000270513305587948
8.7,0.000117185684990467
8.8,2.38339204692558e-05
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
