"Mw","exceedance_rate"
6,1.57712371954205
6.1,1.23849514373124
6.2,0.973187437747008
6.3,0.76515492701227
6.4,0.601896053590631
6.5,0.473664249555764
6.6,0.372855746306724
6.7,0.293534405863393
6.8,0.231062712097835
6.9,0.181815049334888
7,0.142954794645957
7.1,0.11226092197175
7.2,0.0879930410637354
7.3,0.0687862880543858
7.4,0.0535694137462876
7.5,0.0415009088661289
7.6,0.0319191616431048
7.7,0.024303538613887
7.8,0.0182439735706908
7.9,0.0132435470358418
8,0.0093163623297742
8.1,0.00641669513058028
8.2,0.00430752175614626
8.3,0.00273641511144619
8.4,0.00171412659401364
8.5,0.0010297766121006
8.6,0.000588133937537114
8.7,0.000315041281305211
8.8,0.000151885013048162
8.9,6.26969263226284e-05
9,1.90275677651264e-05
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
