"Mw","exceedance_rate"
6,0.035093261139223
6.1,0.0278494974123145
6.2,0.0220972629061804
6.3,0.0175243603590526
6.4,0.0138849044347609
6.5,0.0109850534331242
6.6,0.00867184606438646
6.7,0.00682446086370605
6.8,0.00534736709533077
6.9,0.00416495348574332
7,0.00321731242487223
7.1,0.0024569282618331
7.2,0.00184607354722663
7.3,0.00135476006274076
7.4,0.000921728354577636
7.5,0.000609413087856174
7.6,0.000405622557354751
7.7,0.000265341655877336
7.8,0.000166500773734054
7.9,0.000104325684964745
8,6.29991046604335e-05
8.1,3.49209973336717e-05
8.2,1.87070418614267e-05
8.3,8.87833854128933e-06
8.4,2.89502988224962e-06
8.5,4.20295825524641e-07
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
