"Mw","exceedance_rate"
6,1.12814152986007
6.1,0.849461149060918
6.2,0.640205810558613
6.3,0.482907510042183
6.4,0.364532174700583
6.5,0.275345460337634
6.6,0.208070647552136
6.7,0.157262964900542
6.8,0.118844372212011
6.9,0.0897573879700998
7,0.0677072945692362
7.1,0.0509700012255751
7.2,0.0382487208666583
7.3,0.0285669658104555
7.4,0.0212985093583886
7.5,0.0159171547580312
7.6,0.0119240507194671
7.7,0.00893687189248014
7.8,0.00671298255931781
7.9,0.00501492949069396
8,0.00373350664554188
8.1,0.00276583976494698
8.2,0.00204937839651684
8.3,0.00149493349269955
8.4,0.00107749192799155
8.5,0.000764050931782299
8.6,0.000539168024256761
8.7,0.000363031634352646
8.8,0.000232978590257883
8.9,0.000137905279062416
9,7.55608855659566e-05
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
