"Mw","exceedance_rate"
6,3.28264938258822
6.1,2.69584512496808
6.2,2.21548994731176
6.3,1.82195121251069
6.4,1.49927901021629
6.5,1.23450346197411
6.6,1.01706839197778
6.7,0.83837446015609
6.8,0.691410246805949
6.9,0.570454073241877
7,0.470832767383245
7.1,0.388726315915673
7.2,0.32100952742245
7.3,0.265123575989902
7.4,0.218971691316573
7.5,0.180834379981503
7.6,0.149300459397746
7.7,0.123210905735968
7.8,0.101613095267999
7.9,0.0837234834474596
8,0.0688971401661367
8.1,0.0566028609982401
8.2,0.0464028172429982
8.3,0.037935903688513
8.4,0.0309041014394412
8.5,0.0250613012401974
8.6,0.0202041363855128
8.7,0.0161644582762603
8.8,0.0128031557533214
8.9,0.0100050745824361
9,0.00767483832763153
9.1,0.00561950786657153
9.2,0.00388312004348096
9.3,0.00253536520051062
9.4,0.00152222277892193
9.5,0.000790890889037378
9.6,0.000307033681484256
9.7,0
9.8,0
