"Mw","exceedance_rate"
6,0.322668803979024
6.1,0.25489139781326
6.2,0.201389258304639
6.3,0.159111689088635
6.4,0.125668292535082
6.5,0.0991844650980641
6.6,0.0781888208294954
6.7,0.0615254300994006
6.8,0.0482853565323038
6.9,0.0377532108219107
7,0.0293653972097676
7.1,0.0226774701417709
7.2,0.0173385937026471
7.3,0.0130715425358949
7.4,0.00966190877563449
7.5,0.00712317398072358
7.6,0.00520103416455855
7.7,0.00376040298782847
7.8,0.00272269021347047
7.9,0.00192069120324422
8,0.00132662074187681
8.1,0.000915026037884613
8.2,0.000599834792572941
8.3,0.000376700902186243
8.4,0.000234141481355992
8.5,0.000129119019316465
8.6,6.19436369492649e-05
8.7,2.6949218667778e-05
8.8,4.38597226647746e-06
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
