"Mw","exceedance_rate"
6,0.251840152352487
6.1,0.199038401170869
6.2,0.157077795037889
6.3,0.123694925971963
6.4,0.0971060607310787
6.5,0.0759041322772013
6.6,0.0589781097940139
6.7,0.0454498361742407
6.8,0.0346245091599426
6.9,0.0259518270316236
7,0.0189954763711319
7.1,0.0134091501364355
7.2,0.0089176817404037
7.3,0.00530219032311076
7.4,0.00190595004130138
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
