"Mw","exceedance_rate"
6,0.940802877122147
6.1,0.772847261569785
6.2,0.635353609741378
6.3,0.522700575077511
6.4,0.430322673707018
6.5,0.354508404682649
6.6,0.292237652407126
6.7,0.241050596437194
6.8,0.198941917872578
6.9,0.164275336081233
7,0.135714500773397
7.1,0.112167054712259
7.2,0.0927393129923556
7.3,0.076699508557414
7.4,0.0634479563925162
7.5,0.0524928111650231
7.6,0.0434303513148278
7.7,0.0359289296610763
7.8,0.0297158967972368
7.9,0.0245669370832129
8,0.0202973644375896
8.1,0.0167550115871512
8.2,0.0138144160951253
8.3,0.0113720626791529
8.4,0.0093389434612634
8.5,0.00764933070208325
8.6,0.00622419477835596
8.7,0.00503425142869513
8.8,0.00404864840639775
8.9,0.00321825837906843
9,0.0024545050049847
9.1,0.00185540008609397
9.2,0.0012965781326847
9.3,0.000836237553987405
9.4,0.000469470783318496
9.5,0.000192271919482093
9.6,7.15109576366761e-05
9.7,0
9.8,0
