Manjimup,5.5,-34.3,116.1,0.00040026,,,,,,
Denmark,5.1,-34.9,117.3,0.000151524,,,,,,
Katanning,5.5,-33.7,117.5,0.000119469,,,,,,
Yanchep,6.1,-31.7,115.5,0.000523834,,,,,,
Tom_Price,5.3,-22.7,117.7,0.000223542,,,,,,
Katherine,4.7,-14.5,132.3,0.000466625,,,,,,
Clare,5.7,-33.9,138.7,0.000494987,,,,,,
Renmark,4.9,-34.3,140.7,0.000199973,,,,,,
Murray_Bridge,6.7,-35.1,139.1,0.000715345,,,,,,
Bordertown,4.7,-36.3,140.9,0.00023619,,,,,,
Charters_Towers,5.1,-20.1,146.3,0.00029812,,,,,,
Mount_Isa,4.9,-20.7,139.5,0.000142437,,,,,,
Bowen,5.1,-20.1,148.3,0.000438889,,,,,,
Moranbah,5.1,-22.1,148.1,0.000392492,,,,,,
Roma,4.9,-26.5,148.9,0.000439923,,,,,,
Emerald,5.1,-23.5,148.1,0.000392032,,,,,,
Gympie,5.9,-26.3,152.5,0.000542867,,,,,,
Kingaroy,5.3,-26.5,151.9,0.000333932,,,,,,
Maryborough,5.5,-25.5,152.7,0.000374444,,,,,,
Warwick,4.7,-28.3,152.1,0.0001233,,,,,,
Dalby,5.1,-27.1,151.3,0.000357212,,,,,,
Armidale,4.7,-30.5,151.7,0.0003445,,,,,,
Byron_Bay,5.1,-28.7,153.7,0.00019637,,,,,,
Batemans_Bay,5.1,-35.7,150.3,9.84E-05,,,,,,
Muswellbrook,5.1,-32.3,150.9,0.000275698,,,,,,
Cessnock,5.5,-32.9,151.3,0.00043243,,,,,,
Moree,4.9,-29.5,149.9,0.000394096,,,,,,
Narrabri,4.9,-30.3,149.7,0.000390803,,,,,,
Coonabarabran,4.9,-31.3,149.3,0.000213588,,,,,,
Nowra,5.3,-34.9,150.7,0.000374772,,,,,,
Grafton,4.7,-29.7,152.9,0.000292676,,,,,,
Griffith,4.7,-34.3,146.1,0.00034229,,,,,,
Bega,5.3,-36.7,149.7,0.000126054,,,,,,
Deniliquin,5.3,-35.5,144.9,0.000417078,,,,,,
Jindabyne,5.9,-36.3,148.7,0.000509818,,,,,,
Yass,5.5,-34.9,148.9,0.000251547,,,,,,
Queanbeyan,6.7,-35.3,149.3,0.000585409,,,,,,
Mildura,5.7,-34.1,142.3,0.000510836,,,,,,
Swan_Hill,5.1,-35.3,143.5,0.00036221,,,,,,
Echuca,5.3,-36.1,144.7,0.000465171,,,,,,
Horsham,4.9,-36.7,142.3,0.000166489,,,,,,
Stawell,4.9,-37.1,142.7,0.000289929,,,,,,
Hamilton,4.9,-37.7,142.1,0.000230889,,,,,,
Healesville,5.7,-37.7,145.5,0.000308547,,,,,,
Rosebud,7.3,-38.3,144.9,0.000661212,,,,,,
Cowes,7.3,-38.3,145.1,0.000656488,,,,,,
Bairnsdale,5.3,-37.9,147.5,0.00029624,,,,,,
Portland,5.3,-38.3,141.5,0.000394658,,,,,,
Bacchus_Marsh,7.1,-37.7,144.3,0.000667537,,,,,,
Colac,6.7,-38.3,143.5,0.000741238,,,,,,
Castlemaine,5.3,-37.1,144.1,0.000307881,,,,,,
Melton,5.7,-37.7,144.7,0.000394834,,,,,,
Traralgon,5.7,-38.1,146.5,0.000135866,,,,,,
Benalla,6.1,-36.5,145.9,0.000437763,,,,,,
Queenstown,4.7,-42.1,145.5,0.000226521,,,,,,
Devonport,5.7,-41.1,146.3,0.000307457,,,,,,
