Manjimup,4.9,-34.3,116.1,0.000163008
Denmark,5.7,-34.9,117.3,0.00037712
Katanning,6.3,-33.7,117.5,0.000154626
Yanchep,5.5,-31.7,115.5,0.000212006
Tom_Price,5.9,-22.7,117.7,0.000381134
Katherine,5.3,-14.5,132.3,0.000414906
Clare,5.1,-33.9,138.7,0.000159737
Renmark,5.5,-34.3,140.7,0.000211399
Murray_Bridge,5.7,-35.1,139.1,0.000398447
Bordertown,5.3,-36.3,140.9,0.00028872
Charters_Towers,5.7,-20.1,146.3,0.000398034
Mount_Isa,5.9,-20.7,139.5,0.000223488
Bowen,5.7,-20.1,148.3,0.000497979
Moranbah,5.7,-22.1,148.1,0.00035377
Roma,5.5,-26.5,148.9,0.000423885
Emerald,5.7,-23.5,148.1,0.000352311
Gympie,5.3,-26.3,152.5,0.000236471
Kingaroy,5.9,-26.5,151.9,0.000299417
Maryborough,6.1,-25.5,152.7,0.000275033
Warwick,5.3,-28.3,152.1,0.000158255
Dalby,5.7,-27.1,151.3,0.000335926
Armidale,5.3,-30.5,151.7,0.000386397
Byron_Bay,5.7,-28.7,153.7,0.000352932
Batemans_Bay,5.7,-35.7,150.3,0.000163499
Muswellbrook,5.7,-32.3,150.9,0.000380626
Cessnock,6.1,-32.9,151.3,0.000447961
Moree,5.5,-29.5,149.9,0.000376679
Narrabri,5.5,-30.3,149.7,0.000380824
Coonabarabran,5.5,-31.3,149.3,0.000272347
Nowra,4.7,-34.9,150.7,0.000212597
Grafton,5.3,-29.7,152.9,0.000335018
Griffith,5.5,-34.3,146.1,0.000363488
Bega,5.9,-36.7,149.7,0.000180172
Deniliquin,5.9,-35.5,144.9,0.000335782
Jindabyne,6.5,-36.3,148.7,0.000380903
Yass,6.1,-34.9,148.9,0.000242368
Queanbeyan,5.7,-35.3,149.3,0.000303525
Mildura,6.3,-34.1,142.3,0.000416962
Swan_Hill,5.7,-35.3,143.5,0.000339302
Echuca,4.7,-36.1,144.7,0.000199836
Horsham,5.5,-36.7,142.3,0.000211589
Stawell,5.5,-37.1,142.7,0.000392354
Hamilton,5.5,-37.7,142.1,0.000277524
Healesville,5.1,-37.7,145.5,0.000170154
Rosebud,5.7,-38.3,144.9,0.000259539
Cowes,6.7,-38.3,145.1,0.000430939
Bairnsdale,4.7,-37.9,147.5,0.000138088
Portland,4.7,-38.3,141.5,0.000301569
Bacchus_Marsh,5.7,-37.7,144.3,0.000403083
Colac,7.3,-38.3,143.5,0.00024233
Castlemaine,4.7,-37.1,144.1,0.000143661
Melton,5.1,-37.7,144.7,0.000187365
Traralgon,6.9,-38.1,146.5,0.000170656
Benalla,5.5,-36.5,145.9,0.000372356
Queenstown,5.3,-42.1,145.5,0.000299453
Devonport,4.7,-41.1,146.3,0.00017248
