MAG,N_OBS,N_CUM,BIN_RTE,CUM_RTE,MFD_FIT
2.95,30,209,9.7826e-01,6.1154e+00,6.1151e+00
3.05,19,179,6.1957e-01,5.1371e+00,4.8784e+00
3.15,30,160,9.7826e-01,4.5175e+00,3.8917e+00
3.25,42,130,1.3696e+00,3.5393e+00,3.1046e+00
3.35,12,88,3.9130e-01,2.1697e+00,2.4767e+00
3.45,14,76,3.4426e-01,1.7784e+00,1.9757e+00
3.55,10,62,2.4590e-01,1.4341e+00,1.5761e+00
3.65,11,52,2.7049e-01,1.1882e+00,1.2573e+00
3.75,3,41,7.3770e-02,9.1775e-01,1.0030e+00
3.85,10,38,2.4590e-01,8.4398e-01,8.0009e-01
3.95,4,28,8.7591e-02,5.9808e-01,6.3823e-01
4.05,5,24,1.0949e-01,5.1049e-01,5.0911e-01
4.15,2,19,4.3796e-02,4.0100e-01,4.0610e-01
4.25,4,17,8.7591e-02,3.5720e-01,3.2392e-01
4.35,3,13,6.5693e-02,2.6961e-01,2.5836e-01
4.45,3,10,6.1644e-02,2.0392e-01,2.0606e-01
4.55,3,7,6.1644e-02,1.4228e-01,1.6434e-01
4.65,1,4,2.0548e-02,8.0631e-02,1.3106e-01
4.75,1,3,2.0548e-02,6.0083e-02,1.0451e-01
4.85,1,2,2.0548e-02,3.9535e-02,8.3322e-02
4.95,1,1,1.8987e-02,1.8987e-02,6.6424e-02
5.05,0,0,0.0000e+00,0.0000e+00,5.2943e-02
5.15,0,0,0.0000e+00,0.0000e+00,4.2188e-02
5.25,0,0,0.0000e+00,0.0000e+00,3.3608e-02
5.35,0,0,0.0000e+00,0.0000e+00,2.6764e-02
5.45,0,0,0.0000e+00,0.0000e+00,2.1304e-02
5.55,0,0,0.0000e+00,0.0000e+00,1.6948e-02
5.65,0,0,0.0000e+00,0.0000e+00,1.3473e-02
5.75,0,0,0.0000e+00,0.0000e+00,1.0700e-02
5.85,0,0,0.0000e+00,0.0000e+00,8.4889e-03
5.95,0,0,0.0000e+00,0.0000e+00,6.7246e-03
6.05,0,0,0.0000e+00,0.0000e+00,5.3172e-03
6.15,0,0,0.0000e+00,0.0000e+00,4.1943e-03
6.25,0,0,0.0000e+00,0.0000e+00,3.2986e-03
6.35,0,0,0.0000e+00,0.0000e+00,2.5840e-03
6.45,0,0,0.0000e+00,0.0000e+00,2.0139e-03
6.55,0,0,0.0000e+00,0.0000e+00,1.5591e-03
6.65,0,0,0.0000e+00,0.0000e+00,1.1963e-03
6.75,0,0,0.0000e+00,0.0000e+00,9.0691e-04
6.85,0,0,0.0000e+00,0.0000e+00,6.7601e-04
6.95,0,0,0.0000e+00,0.0000e+00,4.9182e-04
7.05,0,0,0.0000e+00,0.0000e+00,3.4487e-04
7.15,0,0,0.0000e+00,0.0000e+00,2.2764e-04
7.25,0,0,0.0000e+00,0.0000e+00,1.3412e-04
7.35,0,0,0.0000e+00,0.0000e+00,5.9517e-05
7.45,0,0,0.0000e+00,0.0000e+00,-4.6917e-19
