OBJECTID,name,neotec_num,Shape_Leng,Shape_Area
1,1a,1,22.60443715,34.34903008
2,1b,1,57.01928482,208.8712921
3,2,2,21.85368279,26.86674426
4,3a,3,21.74027202,18.25505703
5,3b,3,64.57814091,158.1716782
6,4,4,63.80587476,216.1507997
7,5,5,37.94739687,36.28434199
8,6,6,79.09998824,114.1106041
9,7a,7,65.01463997,86.79879673
10,7b,7,70.69453358,90.29078552
11,7c,7,61.63225265,52.25934768
12,8,8,42.68579238,111.7386328
