SRC_NAME,CODE,SRC_TYPE,CLASS,SRC_WEIGHT,RTE_ADJ_F,DEP_BEST,DEP_UPPER,DEP_LOWER,USD,LSD,OW_LSD,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,CAT_YMAX,PREF_STK,PREF_DIP,PREF_RKE,SHMAX,SHMAX_SIG,TRT,GMM_TRT,DOMAIN,CAT_FILE
SWA,SWA,area,1.0,1.0,1.0,5.0,0.0,20.0,0.0,20.0,999,4.5,3.2,7.3,7.1,7.5,5476.681,8754.061,3407.158,1.0311,1.1065,0.9557,0.0,0.0,1960;1900,2.95;5.95,2017.536,-999.0,-999.0,-999.0,88.69,10.0,Cratonic,Cratonic,1,NSHA18CAT_V0.1_hmtk_declustered.csv
SA,SA,area,2.0,1.0,1.0,5.0,0.0,20.0,0.0,20.0,999,4.5,3.0,7.3,7.1,7.5,61298.52,80739.36,46474.19,1.2344,1.2805,1.1883,0.0,0.0,1966;1966,2.95;2.95,2017.536,-999.0,-999.0,-999.0,98.32,10.0,Cratonic,Cratonic,2,NSHA18CAT_V0.1_hmtk_declustered.csv
SEA,SEA,area,5.0,1.0,1.0,10.0,0.0,20.0,0.0,20.0,999,4.5,3.0,7.3,7.1,7.5,119979.1,152002.4,94612.85,1.2769,1.3164,1.2375,0.0,0.0,1966;1966,2.85;2.85,2017.536,-999.0,-999.0,-999.0,130.0,28.09,Extended,Non_cratonic,5,NSHA18CAT_V0.1_hmtk_declustered.csv
WA,WA,area,3.0,1.0,1.0,5.0,0.0,20.0,0.0,20.0,999,4.5,3.05,7.3,7.1,7.5,33149.95,38965.00,28181.49,0.9780,1.0050,0.9511,0.0,0.0,1979;1979,3.05;3.05,2017.536,-999.0,-999.0,-999.0,80.47,31.33,Cratonic,Cratonic,3,NSHA18CAT_V0.1_hmtk_declustered.csv
EA,EA,area,4.0,1.0,1.0,10.0,0.0,20.0,0.0,20.0,999,4.5,3.0,7.5,7.3,7.7,17301.00,22867.97,13063.44,1.0718,1.1195,1.0240,0.0,0.0,1975;1975,2.95;2.95,2017.536,-999.0,-999.0,-999.0,59.0,34.27,Non_cratonic,Non_cratonic,4,NSHA18CAT_V0.1_hmtk_declustered.csv
