ID,Name,Code,Area,Region,b,Ao,beta,No,EMR,Comment
65,West Tassie,WTAS,63979.58935,Inland - East,0,0,0,0,F,
35,Naturaliste Plateau,NPLT,86360.32471,Offshore Basin - Other,0,0,0,0,F,
50,Pine Creek,PNCK,57159.11922,Continental - North,0,0,0,0,F,
29,McArthur,,353165.1077,Continental - North,0,0,0,0,F,
12,Cape York,,396428.5759,Continental - North,0,0,0,0,F,
31,Mt Isa,,242078.7152,Continental - North,0,0,0,0,F,
64,Wallaby Plateau,,123459.4546,Offshore Basin - Other,0,0,0,0,F,
51,Queensland Plateau,,382179.7192,Offshore Basin - Other,0,0,0,0,F,
30,Money Shoal-Arafura Basin,,480886.7591,Offshore Basin - Northern,0,0,0,0,F,
47,Papuan Basin,,302791.073,Offshore Basin - Northern,0,0,0,0,F,
7,Bligh Basin,,48782.17989,Offshore Basin - Nothern,0,0,0,0,F,
15,Eastern-Papuan Plateau,,87302.04145,Offshore Basin - Northern,0,0,0,0,F,
13,Carpentaria Basin,,459521.9577,Offshore Basin - Northern,0,0,0,0,F,
3,Amadeus Basin,,123934.1496,Continental - Central,0,0,0,0,F,
62,Uluru,,63532.26212,Continental - Central,0,0,0,0,F,
4,Arunta Block,,192963.8497,Continental - Central,0,0,0,0,F,
33,Musgrave East,,61657.64281,Continental - Central,0,0,0,0,F,
34,Musgrave West,,104981.6474,Continental - Central,0,0,0,0,F,
38,New Ord River,,117563.4805,Continental - North,0,0,0,0,F,
27,Kimberley Basin,,118370.1902,Continental - North,0,0,0,0,F,
66,Wiso-Georgina Basin,,805492.4831,Inland Basin,0,0,0,0,F,
17,Fitzroy Crossing,,167299.4649,Continental - North,0,0,0,0,F,
52,Scott Plateau,,141362.661,Offshore Basin - Northern,0,0,0,0,F,
9,Broome Basin,,204635.9892,Offshore Basin - Other,0,0,0,0,F,
28,Marble Bar,,100441.3323,Continental - West,0,0,0,0,F,
40,Northwest Basin,,422978.4907,Offshore Basin - Northern,0,0,0,0,F,
11,Canning Basin,,402522.1792,Inland Basin,0,0,0,0,F,
21,Gascoyne,,168268.0236,Continental - West,0,0,0,0,F,
5,Barrow-Dampier Basin,,483638.3723,Offshore Basin - Other,0,0,0,0,F,
49,Pilbara,,200961.5511,Continental - West,0,0,0,0,F,
48,Perth Basin,,102887.486,Offshore Basin - Other,0,0,0,0,F,
54,Shark Bay,,264394.3655,Offshore Basin - Other,0,0,0,0,F,
2,Albany-Fraser,,200179.7116,Continental - West,0,0,0,0,F,
68,Yilgarn Craton,,626871.6849,Continental - West,0,0,0,0,F,
69,Yilgarn SW,,88368.80118,Continental - West,0,0,0,0,F,
20,Fraser,,77771.78092,Continental - West,0,0,0,0,F,
16,Eyre Peninsula,,11036.83838,Continental - East,0,0,0,0,F,
43,Officer-Eucla Basin,,443852.0121,Inland Basin,0,0,0,0,F,
1,Adelaide Foldbelt,,72062.44599,Continental - East,0,0,0,0,F,
18,Flinders Ranges,,50630.86352,Continental - East,0,0,0,0,F,
32,Mt Lofty Ranges,,17359.01487,Continental - East,0,0,0,0,F,
8,Broken Hill,,41588.42369,Continental - East,0,0,0,0,F,
61,Torrens,,38298.37983,Continental - East,0,0,0,0,F,
37,New England,,146291.792,Inland - East,0,0,0,0,F,
36,NE Qld Basins,,635504.856,Inland - East,0,0,0,0,F,
60,Tamworth,,63503.24126,Inland - East,0,0,0,0,F,
23,Goulburn,,18848.16555,Inland - East,0,0,0,0,F,
67,Wyalong,,7860.459294,Inland - East,0,0,0,0,F,
58,Strzelecki Ranges,,7482.771028,Inland - East,0,0,0,0,F,
39,Newcastle,,17890.28487,Inland - East,0,0,0,0,F,
10,Bunnaloo,,8871.258751,Inland - East,0,0,0,0,F,
44,Orange,,37993.29332,Inland - East,0,0,0,0,F,
55,Southern NSW Coastline,,26358.6426,Inland - East,0,0,0,0,F,
53,SE Highlands,,59602.70519,Inland - East,0,0,0,0,F,
41,NSW Offshore Coast,,69078.009,Offshore Basin - Other,0,0,0,0,F,
56,Southern Ocean,,423494.3811,Offshore Basin - Other,0,0,0,0,F,
45,Otway Shelf,,72321.26372,Offshore Basin - Other,0,0,0,0,F,
46,Otway-Sorell Basin,,90608.57199,Offshore Basin - Other,0,0,0,0,F,
26,Kanmantoo Province,,95318.85182,Inland - East,0,0,0,0,F,
42,NW Tasmania,,38699.85345,Offshore Basin - Other,0,0,0,0,F,
63,Victorian Goldfields,,61711.14519,Inland - East,0,0,0,0,F,
19,Flinders-East Tassie,,114424.7108,Inland - East,0,0,0,0,F,
59,Sydney Basin,,17861.61624,Inland - East,0,0,0,0,F,
25,Gunnedah Basin,,68532.88896,Inland - East,0,0,0,0,F,
22,Gawler Craton,,296436.2246,Continental - East,0,0,0,0,F,
57,Spencer Gulf,,110327.9521,Continental - East,0,0,0,0,F,
6,Benambra Terrane,,80850.24542,Inland - East,0,0,0,0,F,
14,Eastern Inland Basins,,1371441.919,Inland Basin,0,0,0,0,F,
24,Greater Melbourne,,58640.61986,Inland - East,0,0,0,0,F,
