id,Name,Code,usd,lsd,max_mag,strike1,dip1,rake1,hd1,trt,Aggregation_zone
19,RNB Deep,RNBD,60,200,8.3,250,45,90,100,Intraslab,11.7
20,NBT Deep,NBTD,60,180,8.3,270,45,90,100,Intraslab,11.6
21,BTFZ Deep,BTFZD,60,200,8.3,300,45,90,100,Intraslab,11.4
22,OSFZ Deep,OSFZD,60,180,8.3,300,45,90,100,Intraslab,11.4
23,MTB Deep,MTBD,60,130,8.3,300,45,90,100,Intraslab,11.5
31,Banda_40_100km,BS_40_100,40,100,8.3,0,45,-90,60,Intraslab,11.1
32,Seram_40_100km,SRM_40_100,40,100,8.3,285,45,-90,60,Intraslab,11.3
33,Banda_100_200km,BS_100_200,100,200,8.3,0,45,-90,150,Intraslab,11.1
34,Banda_200_300km,BS_200_300,200,300,8.3,0,45,-90,250,Intraslab,11.1
35,Seram_100_200km,SRM_100_200,100,200,8.3,285,45,-90,150,Intraslab,11.3
36,Seram_200_300km,SRM_200_300,200,300,8.3,285,45,-90,250,Intraslab,11.3
36,Timor_40_100km,TMR_40_100,40,100,8.3,80,45,-90,60,Intraslab,11.3
37,NusaTenggara_100_200km,NT_100_200,100,200,8.3,85,45,-90,150,Intraslab,11.3
37,NusaTenggara_40_100km,NT_40_100,40,100,8.3,85,45,-90,60,Intraslab,11.3
37,Timor_100_200km,TMR_100_200,100,200,8.3,80,45,-90,150,Intraslab,11.3
38,Banda_300_400km,BS_300_400,300,400,8.3,0,45,-90,350,Intraslab,11.2
39,Timor_200_300km,TMR_200_300,200,300,8.3,80,45,-90,250,Intraslab,11.3
40,NusaTenggara_200_300km,NT_200_300,200,300,8.3,85,45,-90,250,Intraslab,11.3
41,Timor_300_400km,TMR_300_400,300,400,8.3,80,45,-90,350,Intraslab,11.2
42,NusaTenggara_300_400km,NT_300_400,300,400,8.3,85,45,-90,350,Intraslab,11.2
43,Banda_400_500km,BS_400_500,400,500,8.3,0,45,-90,450,Intraslab,11.2
43,Banda_500_600km,BS_500_600,500,600,8.3,0,45,-90,550,Intraslab,11.2
