MAG,MFD_FIT,MFD_FIT_AREA_NORM
3.05,3.5209e-01,6.3018e-02
3.15,2.6573e-01,4.7560e-02
3.25,2.0055e-01,3.5894e-02
3.35,1.5136e-01,2.7089e-02
3.45,1.1423e-01,2.0445e-02
3.55,8.6209e-02,1.5430e-02
3.65,6.5063e-02,1.1645e-02
3.75,4.9103e-02,8.7885e-03
3.85,3.7058e-02,6.6327e-03
3.95,2.7968e-02,5.0057e-03
4.05,2.1107e-02,3.7778e-03
4.15,1.5930e-02,2.8511e-03
4.25,1.2022e-02,2.1517e-03
4.35,9.0728e-03,1.6238e-03
4.45,6.8470e-03,1.2255e-03
4.55,5.1672e-03,9.2482e-04
4.65,3.8994e-03,6.9791e-04
4.75,2.9426e-03,5.2667e-04
4.85,2.2205e-03,3.9742e-04
4.95,1.6755e-03,2.9988e-04
5.05,1.2642e-03,2.2627e-04
5.15,9.5380e-04,1.7071e-04
5.25,7.1953e-04,1.2878e-04
5.35,5.4272e-04,9.7136e-05
5.45,4.0928e-04,7.3253e-05
5.55,3.0857e-04,5.5229e-05
5.65,2.3257e-04,4.1625e-05
5.75,1.7521e-04,3.1359e-05
5.85,1.3192e-04,2.3610e-05
5.95,9.9245e-05,1.7763e-05
6.05,7.4586e-05,1.3349e-05
6.15,5.5977e-05,1.0019e-05
6.25,4.1932e-05,7.5049e-06
6.35,3.1332e-05,5.6078e-06
6.45,2.3332e-05,4.1759e-06
6.55,1.7294e-05,3.0953e-06
6.65,1.2738e-05,2.2798e-06
6.75,9.2989e-06,1.6643e-06
6.85,6.7035e-06,1.1998e-06
6.95,4.7448e-06,8.4922e-07
7.05,3.2665e-06,5.8463e-07
7.15,2.1508e-06,3.8495e-07
7.25,1.3088e-06,2.3424e-07
7.35,6.7329e-07,1.2051e-07
7.45,1.9369e-07,3.4667e-08
